,index,prediction,realValue,accuracy
237,[237],2325313.0,[2299751],[98.89]
238,[238],2502769.0,[2282744],[90.36]
239,[239],1681360.0,[2243484],[74.94]
240,[240],1834628.0,[2262758],[81.08]
241,[241],2099660.0,[2224118],[94.4]
242,[242],1849667.0,[2292172],[80.69]
243,[243],2240804.0,[2256913],[99.29]
244,[244],2335324.0,[2254236],[96.4]
245,[245],1661761.0,[2241687],[74.13]
246,[246],1822698.0,[2239156],[81.4]
247,[247],3317431.0,[2206948],[49.68]
248,[248],3616845.0,[2242510],[38.71]
249,[249],2223067.0,[2184425],[98.23]
250,[250],1656568.0,[2205160],[75.12]
251,[251],2154823.0,[2202509],[97.83]
252,[252],2347125.0,[2192525],[92.95]
253,[253],2462045.0,[2192276],[87.69]
254,[254],2226705.0,[2147012],[96.29]
255,[255],2702210.0,[2182227],[76.17]
256,[256],3906403.0,[2260512],[27.19]
257,[257],3001585.0,[2165401],[61.38]
258,[258],2822227.0,[2130645],[67.54]
259,[259],1988703.0,[2135509],[93.13]
260,[260],2545344.0,[2142670],[81.21]
261,[261],2523066.0,[2138425],[82.01]
262,[262],2047981.0,[2141155],[95.65]
263,[263],2265517.0,[2108561],[92.56]
264,[264],1774653.0,[2069546],[85.75]
265,[265],1907425.0,[2095592],[91.02]
266,[266],2323465.0,[2084482],[88.54]
267,[267],2332016.0,[2084868],[88.15]
268,[268],2276544.0,[2067538],[89.89]
269,[269],1961531.0,[2080445],[94.28]
270,[270],1935537.0,[2078825],[93.11]
271,[271],2315678.0,[2169109],[93.24]
272,[272],2207805.0,[2058616],[92.75]
273,[273],2506534.0,[2057896],[78.2]
274,[274],1554532.0,[2051315],[75.78]
275,[275],2257832.0,[2051277],[89.93]
276,[276],2318678.0,[2026594],[85.59]
277,[277],1521276.0,[2007665],[75.77]
278,[278],2390441.0,[1970823],[78.71]
279,[279],2440665.0,[1972440],[76.26]
280,[280],2206951.0,[1980050],[88.54]
281,[281],2334489.0,[1974893],[81.79]
282,[282],1768287.0,[1933467],[91.46]
283,[283],1471679.0,[1906687],[77.19]
284,[284],2352326.0,[1934270],[78.39]
285,[285],1787299.0,[1928605],[92.67]
286,[286],1790861.0,[1925154],[93.02]
287,[287],1389828.0,[1901731],[73.08]
288,[288],2154590.0,[1892467],[86.15]
289,[289],1905818.0,[1898220],[99.6]
290,[290],2049700.0,[1891993],[91.66]
291,[291],1913347.0,[1887733],[98.64]
292,[292],1887318.0,[1846180],[97.77]
293,[293],1676299.0,[1843404],[90.94]
294,[294],1538815.0,[1865354],[82.49]
295,[295],1940927.0,[1867849],[96.09]
296,[296],1587146.0,[2006561],[79.1]
297,[297],2048537.0,[1872682],[90.61]
298,[298],2021648.0,[1855917],[91.07]
299,[299],1643822.0,[1855489],[88.59]
300,[300],1696487.0,[1854711],[91.47]
301,[301],2752426.0,[1817069],[48.52]
302,[302],1562760.0,[1831741],[85.32]
303,[303],1493536.0,[1820842],[82.02]
304,[304],2175096.0,[1778843],[77.72]
305,[305],2319079.0,[1784165],[70.02]
306,[306],1920217.0,[1790916],[92.78]
307,[307],1225433.0,[1799447],[68.1]
308,[308],1311704.0,[1786386],[73.43]
309,[309],1722282.0,[1747305],[98.57]
310,[310],1748936.0,[1766285],[99.02]
311,[311],1326328.0,[1764233],[75.18]
312,[312],2088879.0,[1762742],[81.5]
313,[313],1244291.0,[1762071],[70.62]
314,[314],1516399.0,[1744213],[86.94]
315,[315],1804351.0,[1744585],[96.57]
316,[316],1175560.0,[1755181],[66.98]
317,[317],1899473.0,[1730773],[90.25]
318,[318],1455582.0,[1726227],[84.32]
319,[319],1458074.0,[1721772],[84.68]
320,[320],1541286.0,[1721611],[89.53]
321,[321],1940999.0,[1717566],[86.99]
322,[322],1342150.0,[1716455],[78.19]
323,[323],2080170.0,[1716438],[78.81]
324,[324],1832279.0,[1711266],[92.93]
325,[325],2385863.0,[1715370],[60.91]
326,[326],2062445.0,[1706495],[79.14]
327,[327],1435987.0,[1694562],[84.74]
328,[328],1333796.0,[1670652],[79.84]
329,[329],2018735.0,[1689717],[80.53]
330,[330],1518207.0,[1665268],[91.17]
331,[331],1695189.0,[1676040],[98.86]
332,[332],1836188.0,[1675819],[90.43]
333,[333],1700881.0,[1661388],[97.62]
334,[334],1318333.0,[1648110],[79.99]
335,[335],1798188.0,[1646142],[90.76]
336,[336],1980198.0,[1649407],[79.94]
337,[337],1537563.0,[1635003],[94.04]
338,[338],993942.0,[1635088],[60.79]
339,[339],1405612.0,[1623518],[86.58]
340,[340],1282620.0,[1622015],[79.08]
341,[341],1911473.0,[1600856],[80.6]
342,[342],1966537.0,[1619651],[78.58]
343,[343],1999048.0,[1612554],[76.03]
344,[344],2121055.0,[1624601],[69.44]
345,[345],2093882.0,[1607555],[69.75]
346,[346],1063019.0,[1570681],[67.68]
347,[347],1735272.0,[1593694],[91.12]
348,[348],1327575.0,[1593116],[83.33]
349,[349],1065588.0,[1634734],[65.18]
350,[350],791599.0,[1576492],[50.21]
351,[351],1817399.0,[1572064],[84.39]
352,[352],1668353.0,[1546132],[92.1]
353,[353],1506814.0,[1544486],[97.56]
354,[354],1469806.0,[1589048],[92.5]
355,[355],1740619.0,[1552055],[87.85]
356,[356],1788919.0,[1532632],[83.28]
357,[357],1371595.0,[1517096],[90.41]
358,[358],1148517.0,[1518188],[75.65]
359,[359],1475781.0,[1515356],[97.39]
360,[360],1593047.0,[1515104],[94.86]
361,[361],1502303.0,[1511845],[99.37]
362,[362],1529992.0,[1507084],[98.48]
363,[363],938629.0,[1504888],[62.37]
364,[364],1830571.0,[1500830],[78.03]
365,[365],1464430.0,[1479859],[98.96]
366,[366],1634880.0,[1459973],[88.02]
367,[367],1308774.0,[1468903],[89.1]
368,[368],1697218.0,[1472147],[84.71]
369,[369],1309982.0,[1492903],[87.75]
370,[370],2137673.0,[1475582],[55.13]
371,[371],1173691.0,[1462561],[80.25]
372,[372],933684.0,[1457406],[64.06]
373,[373],1027856.0,[1445248],[71.12]
374,[374],1520173.0,[1441990],[94.58]
375,[375],1137934.0,[1439506],[79.05]
376,[376],1822790.0,[1438056],[73.25]
377,[377],1716843.0,[1430885],[80.02]
378,[378],1519376.0,[1422844],[93.22]
379,[379],1615129.0,[1383867],[83.29]
380,[380],1062013.0,[1395498],[76.1]
381,[381],2140510.0,[1402816],[47.41]
382,[382],1715716.0,[1400397],[77.48]
383,[383],1495501.0,[1397526],[92.99]
384,[384],1416735.0,[1371164],[96.68]
385,[385],1337059.0,[1387779],[96.35]
386,[386],2063349.0,[1387562],[51.3]
387,[387],1042888.0,[1382650],[75.43]
388,[388],1388589.0,[1385515],[99.78]
389,[389],1560858.0,[1373873],[86.39]
390,[390],2163868.0,[1373316],[42.43]
391,[391],1626924.0,[1362634],[80.6]
392,[392],1448386.0,[1362114],[93.67]
393,[393],1748585.0,[1361273],[71.55]
394,[394],1494200.0,[1346754],[89.05]
