,index,prediction,realValue,accuracy
197,[197],2820277.0,[2675618],[94.59]
198,[198],2654100.0,[2711094],[97.9]
199,[199],2982828.0,[2658589],[87.8]
200,[200],2794116.0,[2654817],[94.75]
201,[201],2633426.0,[2625686],[99.71]
202,[202],2544132.0,[2625636],[96.9]
203,[203],1869438.0,[2636385],[70.91]
204,[204],2742683.0,[2614601],[95.1]
205,[205],3062322.0,[2611966],[82.76]
206,[206],2408097.0,[2571814],[93.63]
207,[207],2338124.0,[2601761],[89.87]
208,[208],2637335.0,[2601572],[98.63]
209,[209],2406164.0,[2595625],[92.7]
210,[210],2893388.0,[2594420],[88.48]
211,[211],2430234.0,[2554960],[95.12]
212,[212],2491189.0,[2588628],[96.24]
213,[213],2690907.0,[2564340],[95.06]
214,[214],2430365.0,[2539113],[95.72]
215,[215],2992172.0,[2534979],[81.96]
216,[216],2405480.0,[2537438],[94.8]
217,[217],2363643.0,[2520700],[93.77]
218,[218],2681422.0,[2515501],[93.4]
219,[219],2339529.0,[2475797],[94.5]
220,[220],1790062.0,[2452245],[73.]
221,[221],2432251.0,[2436884],[99.81]
222,[222],2484411.0,[2434435],[97.95]
223,[223],2518235.0,[2444180],[96.97]
224,[224],2405087.0,[2421197],[99.33]
225,[225],2212044.0,[2393103],[92.43]
226,[226],3042592.0,[2394487],[72.93]
227,[227],2052449.0,[2359061],[87.]
228,[228],1986821.0,[2376266],[83.61]
229,[229],2412408.0,[2368267],[98.14]
230,[230],2502213.0,[2367942],[94.33]
231,[231],2562970.0,[2359273],[91.37]
232,[232],2331381.0,[2342579],[99.52]
233,[233],3399665.0,[2541603],[66.24]
234,[234],2124657.0,[2318748],[91.63]
235,[235],2569785.0,[2310206],[88.76]
236,[236],2349660.0,[2308646],[98.22]
237,[237],2463985.0,[2299751],[92.86]
238,[238],2335435.0,[2282744],[97.69]
239,[239],1778528.0,[2243484],[79.28]
240,[240],1570402.0,[2262758],[69.4]
241,[241],2048540.0,[2224118],[92.11]
242,[242],2159751.0,[2292172],[94.22]
243,[243],2443468.0,[2256913],[91.73]
