,index,prediction,realValue,accuracy
212,[212],3044325.0,[2588628],[82.4]
213,[213],2676015.0,[2564340],[95.65]
214,[214],3047846.0,[2539113],[79.96]
215,[215],2450864.0,[2534979],[96.68]
216,[216],2831091.0,[2537438],[88.43]
217,[217],2281882.0,[2520700],[90.53]
218,[218],3528964.0,[2515501],[59.71]
219,[219],2769837.0,[2475797],[88.12]
220,[220],2526244.0,[2452245],[96.98]
221,[221],2525510.0,[2436884],[96.36]
222,[222],2188280.0,[2434435],[89.89]
223,[223],3174879.0,[2444180],[70.1]
224,[224],2468063.0,[2421197],[98.06]
225,[225],2355774.0,[2393103],[98.44]
226,[226],3309137.0,[2394487],[61.8]
227,[227],1470271.0,[2359061],[62.32]
228,[228],1969678.0,[2376266],[82.89]
229,[229],3228918.0,[2368267],[63.66]
230,[230],2317757.0,[2367942],[97.88]
231,[231],2651183.0,[2359273],[87.63]
232,[232],1954889.0,[2342579],[83.45]
233,[233],3644011.0,[2541603],[56.63]
234,[234],1752552.0,[2318748],[75.58]
235,[235],2558982.0,[2310206],[89.23]
236,[236],2293268.0,[2308646],[99.33]
237,[237],2616350.0,[2299751],[86.23]
238,[238],2449541.0,[2282744],[92.69]
239,[239],1476416.0,[2243484],[65.81]
240,[240],1830676.0,[2262758],[80.9]
241,[241],1847652.0,[2224118],[83.07]
242,[242],1547183.0,[2292172],[67.5]
243,[243],2911153.0,[2256913],[71.01]
244,[244],2516952.0,[2254236],[88.35]
245,[245],2221140.0,[2241687],[99.08]
246,[246],1457086.0,[2239156],[65.07]
247,[247],3305401.0,[2206948],[50.23]
248,[248],4052318.0,[2242510],[19.3]
249,[249],1773672.0,[2184425],[81.2]
250,[250],1472384.0,[2205160],[66.77]
251,[251],1870819.0,[2202509],[84.94]
252,[252],2577998.0,[2192525],[82.42]
253,[253],2586544.0,[2192276],[82.02]
254,[254],1995957.0,[2147012],[92.96]
255,[255],2777953.0,[2182227],[72.7]
256,[256],3633419.0,[2260512],[39.27]
