,index,prediction,realValue,accuracy
310,310,1725278,1766285,97.68
311,311,2126519,1764233,79.46
312,312,2129411,1762742,79.2
313,313,1984682,1762071,87.37
314,314,1443818,1744213,82.78
315,315,2131554,1744585,77.82
316,316,1534544,1755181,87.43
317,317,2047089,1730773,81.72
318,318,1595927,1726227,92.45
319,319,1401998,1721772,81.43
320,320,1575253,1721611,91.5
321,321,2313281,1717566,65.32
322,322,1540523,1716455,89.75
323,323,2045375,1716438,80.84
324,324,1861222,1711266,91.24
325,325,2030762,1715370,81.61
326,326,1738174,1706495,98.14
327,327,1223227,1694562,72.19
328,328,1983955,1670652,81.25
329,329,1734178,1689717,97.37
330,330,1802590,1665268,91.75
331,331,1749375,1676040,95.62
332,332,1428818,1675819,85.26
333,333,1740894,1661388,95.21
334,334,1616710,1648110,98.09
335,335,1792651,1646142,91.1
336,336,1206674,1649407,73.16
337,337,1930063,1635003,81.95
338,338,1352130,1635088,82.69
339,339,1632484,1623518,99.45
340,340,1556015,1622015,95.93
341,341,1745030,1600856,90.99
342,342,1865836,1619651,84.8
343,343,1911979,1612554,81.43
344,344,1585237,1624601,97.58
345,345,1845410,1607555,85.2
346,346,1886259,1570681,79.91
347,347,1930411,1593694,78.87
348,348,1480361,1593116,92.92
349,349,1250913,1634734,76.52
350,350,1357269,1576492,86.09
351,351,1430536,1572064,91.0
352,352,1598538,1546132,96.61
353,353,2051888,1544486,67.15
354,354,2033745,1589048,72.01
355,355,1700034,1552055,90.47
356,356,1673076,1532632,90.84
357,357,1315512,1517096,86.71
358,358,1828740,1518188,79.54
359,359,1770364,1515356,83.17
360,360,1576234,1515104,95.97
361,361,1923601,1511845,72.76
362,362,1486112,1507084,98.61
363,363,1648072,1504888,90.49
364,364,1577947,1500830,94.86
365,365,2106066,1479859,57.68
366,366,1703050,1459973,83.35
367,367,1388909,1468903,94.55
368,368,1769004,1472147,79.84
369,369,1592178,1492903,93.35
370,370,1477669,1475582,99.86
371,371,1577199,1462561,92.16
372,372,1120728,1457406,76.9
373,373,1351597,1445248,93.52
374,374,1686983,1441990,83.01
375,375,1650331,1439506,85.35
376,376,1564531,1438056,91.21
377,377,1640001,1430885,85.39
378,378,1452145,1422844,97.94
379,379,1617625,1383867,83.11
380,380,1373868,1395498,98.45
381,381,1616439,1402816,84.77
382,382,1344538,1400397,96.01
383,383,1516823,1397526,91.46
384,384,1287101,1371164,93.87
385,385,1853165,1387779,66.47
386,386,1472280,1387562,93.89
387,387,1641782,1382650,81.26
388,388,1635770,1385515,81.94
389,389,1432208,1373873,95.75
390,390,1611745,1373316,82.64
391,391,1205000,1362634,88.43
392,392,1608030,1362114,81.95
393,393,1430060,1361273,94.95
394,394,1360353,1346754,98.99
395,395,1284629,1346511,95.4
396,396,1409579,1332819,94.24
397,397,1475268,1340149,89.92
398,398,1273216,1338411,95.13
399,399,2140974,1329061,38.91
400,400,1388953,1330183,95.58
401,401,1407618,1321751,93.5
402,402,1277402,1308810,97.6
403,403,1418982,1327755,93.13
404,404,1387893,1315735,94.52
405,405,1459524,1344319,91.43
406,406,2123514,1310895,38.01
407,407,1371865,1307873,95.11
408,408,1817668,1311118,61.37
409,409,1270400,1307226,97.18
410,410,1678113,1306438,71.55
411,411,1423622,1280734,88.84
412,412,1004508,1278894,78.55
413,413,1569415,1262858,75.73
414,414,1388667,1277690,91.31
415,415,1235098,1230470,99.62
416,416,1551683,1246185,75.49
417,417,1156977,1238064,93.45
418,418,1242186,1214237,97.7
419,419,1226968,1231261,99.65
420,420,1488147,1208310,76.84
421,421,1477415,1243065,81.15
422,422,1205610,1221427,98.71
423,423,1017573,1211890,83.97
424,424,1024132,1219637,83.97
425,425,1389378,1214839,85.63
426,426,1062385,1190008,89.28
427,427,1084489,1207732,89.8
428,428,1595453,1208081,67.93
429,429,1338422,1187684,87.31
430,430,1023215,1209363,84.61
431,431,1474424,1202384,77.37
432,432,1286504,1201944,92.96
433,433,1032438,1204600,85.71
434,434,1228795,1201457,97.72
435,435,1290554,1194239,91.93
436,436,1080098,1172586,92.11
437,437,1292641,1177438,90.22
438,438,1340304,1181332,86.54
439,439,1526588,1169839,69.5
440,440,1383785,1168782,81.6
441,441,1995299,1175737,30.29
442,442,1248223,1166025,92.95
443,443,1267888,1163274,91.01
444,444,1581705,1166151,64.37
445,445,1179250,1160021,98.34
446,446,1346809,1169562,84.85
447,447,1098840,1157472,94.93
448,448,1151446,1153201,99.85
449,449,1337641,1149628,83.65
450,450,1350010,1125154,80.02
451,451,1243293,1134364,90.4
452,452,1360492,1141222,80.79
453,453,1480399,1122225,68.08
454,454,1314106,1129609,83.67
455,455,1114886,1127329,98.9
456,456,1050519,1106899,94.91
457,457,1283145,1128288,86.28
458,458,937282,1112238,84.27
459,459,1235333,1118258,89.53
460,460,1381704,1085447,72.71
461,461,1392636,1111284,74.68
462,462,1254490,1110523,87.04
463,463,1161616,1110274,95.38
464,464,1152685,1101678,95.37
