,director,director_score
383,박대민,14
384,박대영,2
385,박명랑,2
386,박범수,2
387,박상준,4
388,박수영,2
389,박신우,4
390,박영균,6
391,박용집,4
392,박인제,8
393,박재식,2
394,박정오,2
395,박정우,24
396,박제현,2
397,박중구,2
398,박중훈,2
399,박지원 ,2
400,박진표,14
401,박찬옥,2
402,박찬욱,22
403,박철관,4
404,박태동,2
405,박헌수,2
406,박현진,10
407,박홍수,6
408,박훈정,24
409,박흥식,4
410,박희곤,12
411,발타자르 코루마쿠르,4
412,방수인,2
413,방은진,12
414,배리 소넨필드,10
415,배리 젠킨스,2
416,배형준,4
417,백,8
418,백동훈,2
419,백승빈,2
420,백승화,2
421,백운학,8
422,베넷 밀러,4
423,베리 쿡,8
424,베티 토머스,4
425,벤 스타센,18
426,벤 스틸러,6
427,벤 애플렉,4
428,벤 차오,2
429,변성현,10
430,변승욱,4
431,변영주,8
432,변진호,2
433,보이드 커클랜드,2
434,봉준호,32
435,부지영,4
436,브라이언 버티노 ,2
437,브라이언 싱어,30
438,브라이언 테일러,2
439,브라이언 피,2
440,브라이언 헬겔랜드,2
441,브래드 버드,20
442,브래드 앤더슨,2
443,브래드 앤더슨 ,2
444,브래드 퍼맨,4
445,브래드 페이튼,20
446,브렉 에이즈너,4
447,브렛 래트너,4
448,블라드 바르베,2
449,블라디미르 토로프킨,2
450,빈센조 나탈리,2
451,빌 어거스트,2
452,빌 콘돈,28
453,사라 폴리,2
454,사무엘 베이어,2
455,사울 딥,2
456,사이먼 웨스트,4
457,사이먼 커티스,2
458,사카모토 코이치,2
459,사카이 무네히사,2
460,사토 신스케,2
461,사토 준이치,6
462,산제이 렐라 반살리,6
463,샘 레이미,4
464,샘 멘데스,16
465,샘 테일러-존슨,2
466,샘 펠,2
467,샤론 맥과이어,4
468,서극,2
469,석민우,2
470,성룡,2
471,성시흡,4
472,세딕 니콜라스 트로얀,2
473,세르게이 보드로프,2
474,세르지오 맨피오,2
475,세스 고든,2
476,세스 맥팔레인,4
477,션 베이커,2
478,소피아 코폴라,2
479,손립기,2
480,손석우,2
481,손영성,8
482,손용호,4
483,손재곤,4
484,송동윤,2
485,송일곤,6
486,송해성,12
487,숀 레비,22
488,수잔나 화이트,2
489,순리준,2
490,쉐인 블랙,22
491,쉐인 액커,2
492,스기시마 쿠니히사,2
493,스캇 워프,2
494,스콧 데릭슨,24
495,스콧 스피어,4
496,스콧 찰스 스튜어트,2
497,스콧 프랭크,2
498,스튜어트 베티,2
499,스튜어트 하젤딘,2
500,스튜어트 헨들러,2
501,스티브 마티노,8
502,스티브 맥퀸,2
503,스티브 히크너,6
504,스티븐 S. 드나이트,6
505,스티븐 달드리,2
506,스티븐 소더버그,4
507,스티븐 소머즈,8
508,스티븐 스필버그,34
509,스티븐 쿼일,10
510,스티븐 크보스키,2
511,스티븐 프리어스,2
512,스틸즈 화이트,2
513,스파이크 존즈,2
514,시기노 아키라,2
515,시모사와 신타로,2
516,시즈노 코분,18
517,신근호,2
518,신동엽,4
519,신연식,2
520,신재영,2
521,신재호,2
522,신정원,10
523,신카이 마코토,14
524,신태라,18
525,신한솔,6
526,신현원,2
527,실뱅 쇼메,2
528,실베스터 스탤론,4
529,심성보,6
530,심형래,8
531,쏘어 프류덴탈,4
532,아그네츠카 보토위츠 보슬루 ,2
533,아넌드 터커,2
534,아담 맥케이,2
535,아담 브룩스,2
536,아담 쉥크만,4
537,아리 포신,2
538,아리엘 브로멘,2
539,아리엘 슐만,2
540,아미노 테츠로,2
541,아벨 페리,2
542,아사토 마리,2
543,아톰 에고이안,2
544,안권태,6
545,안나 포에스터,2
546,안노 히데아키,4
547,안드레스 G. 슈에,2
548,안드레스 무시에티,6
549,안병기,2
550,안상훈,10
551,안소니 루소,44
552,안소니 벨,2
553,안재훈,2
554,안젤리나 졸리,2
555,안톤 코르빈 ,2
556,안톤 후쿠아,10
557,안티 조키넨,2
558,알래스테어 포더길 ,2
559,알레한드로 곤잘레스 이냐리투,10
560,알렉산더 바흐,2
561,알렉산더 아야,6
562,알렉산더 페인,4
563,알렉상드르 헤보얀,2
564,알렉세이 트시칠린,6
565,알렉스 가랜드,2
566,알렉스 스타더만,2
567,알렉스 커츠먼,10
568,알렉스 프로야스,10
569,알렌 휴즈,4
570,알베르토 로드리게즈,2
571,알폰소 쿠아론,10
572,압델라티프 케시시,2
573,앙티 하이칼라,2
574,애덤 로비텔,4
575,애쉬 브래넌,2
576,애스게르 레스,4
577,앤 폰테인,4
578,앤 플레쳐,4
579,앤드류 니콜,4
580,앤드류 스탠튼,18
581,앤드류 아담슨,6
582,앤디 워쇼스키,6
583,앤디 테넌트,4
584,앤서니 실버스톤,2
585,앨런 테일러,20
586,앨리스터 그리어슨,2
587,야론 질버만,2
588,야마구치 켄타로,2
589,야마다 나오코,2
590,야마모토 야스이치로,16
591,야마모토 타이치로,4
592,야마시타 히로유키,2
593,야마자키 타카시,12
594,야스미 테츠오,2
595,야쿠와 신노스케,4
596,얀 리벡,2
597,양경모,2
598,양선,2
599,양우석,36
600,양윤호,4
601,양익준,2
602,양종현,2
603,어네스토 파드롱,2
604,엄태화,4
605,에두와르도 슐츠,2
606,에드가 라이트,4
607,에드워드 즈윅,10
608,에릭 다넬,18
609,에릭 라티고,2
610,에릭 레드 ,2
611,에릭 브리빅 ,6
612,에릭 섬머,2
613,에릭슨 코어,2
614,에바 진,2
615,에스벤 토프트 야콥슨,2
616,에이슬링 월쉬,2
617,엔리케 가토,2
618,엔조 달로,2
619,엘레노어 코폴라,2
620,엘리어트 레스터,2
621,엘리자베스 뱅크스,2
622,여균동,2
623,여인영,24
