,actor,final_audience_y
399,김홍재,2.0
400,김홍파,26.0
401,김화영,6.0
402,김환진,8.0
403,김환희,16.0
404,김효수,2.0
405,김효숙,14.0
406,김효식,2.0
407,김효연,8.0
408,김효진,14.0
409,김흥국,4.0
410,김흥수,2.0
411,김희라,2.0
412,김희석,2.0
413,김희수,2.0
414,김희승,6.0
415,김희애,18.0
416,김희영,4.0
417,김희원,42.0
418,김희정,4.0
419,김희찬,2.0
420,김희철(희철),4.0
421,까뜨린느 드뇌브,2.0
422,까졸,2.0
423,나가사와 마사미,14.0
424,나가시마 유이치,2.0
425,나나,12.0
426,나단 필리온,2.0
427,나라하시 미키,6.0
428,나르샤,2.0
429,나문희,48.0
430,나빈 앤드류스,2.0
431,나상연,2.0
432,나영희,16.0
433,나오미 스콧,2.0
434,나오미 왓츠,22.0
435,나오미 해리스,24.0
436,나카무라 시도,6.0
437,나카이 카즈야,4.0
438,나카타 조지,2.0
439,나타샤 맥켈혼,2.0
440,나탈리 도메르,2.0
441,나탈리 잭슨 멘도자,2.0
442,나탈리 포트만,36.0
443,나탈리아 루다코바,4.0
444,나태주,2.0
445,난죠 요시노,2.0
446,남능미,8.0
447,남도형,14.0
448,남동협,6.0
449,남보라,8.0
450,남상미,8.0
451,남성진,4.0
452,남지현,8.0
453,냇 울프,14.0
454,네스토르 세라노,2.0
455,노강민,2.0
456,노라 존스,2.0
457,노먼 리더스,2.0
458,노무현,8.0
459,노승범,12.0
460,노아 링어,6.0
461,노아 주프,4.0
462,노아 테일러,2.0
463,노엘 휘셔,2.0
464,노윤,2.0
465,노재훈,4.0
466,노정의,6.0
467,노홍철,2.0
468,누미 라파스,14.0
469,니나 도브레브,2.0
470,니시다 토시유키,2.0
471,니아 발다로스,2.0
472,니와 미키호,2.0
473,니콜 키드먼,26.0
474,니콜라 벌리,2.0
475,니콜라 펠츠,20.0
476,니콜라스 지로드,2.0
477,니콜라스 케이지,30.0
478,니콜라스 홀트,34.0
479,니콜라이 코스터 왈도,6.0
480,닉 놀테,2.0
481,닉 로빈슨,2.0
482,닉 오퍼만,2.0
483,닉 자노,2.0
484,닉 프로스트,4.0
485,닐 세티,8.0
486,닐 패트릭 해리스,24.0
487,닐 홉킨스,4.0
488,다네이 거라이라,14.0
489,다니엘 데이 루이스,4.0
490,다니엘 래드클리프,40.0
491,다니엘 브륄,6.0
492,다니엘 비서티,4.0
493,다니엘 조바토,6.0
494,다니엘 칼루야,8.0
495,다니엘 크레이그,40.0
496,다니엘 파나베이커,6.0
497,다니엘 헤니,24.0
498,다니카 야로쉬,4.0
499,다요 오케니이,10.0
500,다윈 쇼,2.0
501,다이고,4.0
502,다이안 레인,18.0
503,다이안 키튼,10.0
504,다이앤 크루거,12.0
505,다케우치 유코,2.0
506,다코타 고요,6.0
507,다코타 블루 리차드,2.0
508,다코타 존슨,6.0
509,다코타 패닝,18.0
510,달이,4.0
511,대니 드비토,2.0
512,대니 맥브라이드,2.0
513,대니 휴스턴,6.0
514,대성,6.0
515,댄 스티븐스,20.0
516,댄 애크로이드,2.0
517,댄 와일리,2.0
518,댄 포글러,12.0
519,더그 존스,4.0
520,더글라스 스미스,2.0
521,더글라스 홋지,4.0
522,더못 멀로니,10.0
523,더스틴 밀리건,2.0
524,더스틴 호프만,46.0
525,덩차오,2.0
526,데니 안/ 안신원,2.0
527,데니스 리어리,10.0
528,데니스 퀘이드,16.0
529,데릭 해밀턴,2.0
530,데미 로바토,2.0
531,데미안 비쉬어,2.0
532,데브 파텔,20.0
533,데비드 스트리에소브,2.0
534,데이너 카비,8.0
535,데이브 바티스타,16.0
536,데이브 존스,2.0
537,데이브 프랑코,18.0
538,데이비드 듀코브니,2.0
539,데이비드 코에너,2.0
540,데이비드 하워드,2.0
541,데이빗 고어,2.0
542,데이빗 듈리스,8.0
543,데이빗 벨,6.0
544,데이빗 쉼머,12.0
545,데이빗 오예로워,6.0
546,데이빗 웬햄,2.0
547,데이빗 크로스,2.0
548,데이빗 테넌트,4.0
549,데이빗 핫셀호프,2.0
550,데이지 리들리,4.0
551,데이커 몽고메리,2.0
552,데인 드한,24.0
553,데인 쿡,2.0
554,덴젤 워싱턴,16.0
555,도경수,16.0
556,도널 글리슨,20.0
557,도니 제프콧,8.0
558,도미닉 웨스트,6.0
559,도미닉 쿠퍼,16.0
560,도세진,2.0
561,도지한,22.0
562,도희,2.0
563,돈 올리비에리,2.0
564,돈 치들,32.0
565,돌프 룬드그렌,4.0
566,동방우,2.0
567,동호,4.0
568,두경훈,2.0
569,두우항,2.0
570,드레이크 벨,4.0
571,드류 베리모어,6.0
572,드미트리 나자로브,2.0
573,드와이트 헨리,2.0
574,드웨인 존슨,72.0
575,디몬 하운수,8.0
576,디애너 듀나건,2.0
577,디에고 루나,6.0
578,디오고 모르가도,2.0
579,디피카 파드콘,2.0
580,딜런 미네트,8.0
581,딜런 오브라이언,28.0
582,라니 무케르지,4.0
583,라다 미첼,10.0
584,라드 세르베드지야,8.0
585,라미란,102.0
586,라이스 웨이크필드,2.0
587,라이언 고슬링,14.0
588,라이언 구즈만,8.0
589,라이언 레놀즈,49.99999999999999
590,라이언 로빈스,2.0
591,라이언 슈스,2.0
592,라이언 콴튼,2.0
593,라이언 포터,8.0
594,라이언 필립,4.0
595,라일라 베르진,2.0
596,라일리 코프,10.0
597,라프 스팰,8.0
598,랄프 파인즈,32.0
599,랜디 커투어,2.0
600,러셀 브랜드,2.0
601,러셀 크로우,60.0
602,레나 헤디,12.0
603,레베카 퍼거슨,22.0
604,레베카 홀,32.0
605,레벨 윌슨,8.0
606,레슬리 만,8.0
607,레슬리 빕,2.0
608,레슬리 존스,4.0
609,레아 미셸,2.0
610,레아 세이두,12.0
611,레아 파이피스,2.0
612,레오나르도 디카프리오,44.0
613,레이 로마노,10.0
614,레이 스티븐슨,6.0
615,레이 윈스톤,2.0
616,레이 피셔,6.0
617,레이첼 맥아담스,44.0
618,레이첼 빌슨,8.0
619,레이첼 와이즈,20.0
620,레이첼 허드-우드,2.0
621,레이코 아일리스워스,2.0
622,레이크 벨,8.0
623,레인 윌슨,2.0
