,movieCd,starScore,userCount
369,20172603,7.3,5213
370,20134082,6.84,9522
371,20110905,6.99,3249
372,20126406,8.65,833
373,20136219,8.33,5405
374,20133322,6.69,8533
375,20081696,7.84,3014
376,20123387,7.13,3091
377,20142406,7.75,9653
378,20126671,7.78,5328
379,20090931,6.85,4898
380,20081703,8.86,4880
381,20179462,9.37,12858
382,20167839,8.27,4947
383,20148383,8.22,5418
384,20100767,4.75,4352
385,20173581,8.17,9117
386,20168250,5.3,9003
387,20174622,8.22,6186
388,20176917,8.37,4748
389,20134028,7.44,5026
390,20164174,6.49,14807
391,20162871,7.4,7383
392,20140694,8.64,6713
393,20081697,7.86,10169
394,20124065,7.46,5236
395,20124066,7.1,5404
396,20090678,7.89,8612
397,20150969,6.56,8318
398,20111987,6.4,2998
399,20124082,7.76,11113
400,20155422,8.78,5213
401,20141261,8,4225
402,20090590,6.02,2990
403,20081057,9.38,9560
404,20178781,7.02,4631
405,20149317,8.55,8892
406,20124400,7.18,3824
407,20119707,7.53,7248
408,20081243,8.85,5995
409,20179382,8.14,11049
410,20151003,6.27,7562
411,20090222,8.22,3623
412,20157042,7.15,8123
413,20090336,9.23,8569
414,20110221,8.98,5823
415,20081791,7.88,1064
416,20124032,6.87,2304
417,20070563,8.09,1291
418,20090939,7.55,2404
419,20127634,7.67,1601
420,20100302,6.84,2989
421,20159645,8.3,4676
422,20139401,7.51,3330
423,20080379,7.32,2926
424,20125647,7.27,3120
425,20136061,7.04,2474
426,20100811,6.28,2999
427,20137811,7.22,3914
428,20162343,6.97,8820
429,20090225,8.01,3221
430,20123381,6.94,4503
431,20142621,7.11,6452
432,20124049,7.56,7115
433,20150971,6.5,8994
434,20129114,7.22,4140
435,20153447,6.16,4408
436,20101213,8.07,2617
437,20134590,6.67,4486
438,20080637,8.2,5044
439,20135241,8.52,12054
440,20152371,8.68,7418
441,20158482,9.36,10785
442,20124064,6.77,6300
443,20158150,8.67,9840
444,20140703,8.87,3848
445,20128687,6.06,2091
446,20135386,7.76,6621
447,20150567,8.22,4225
448,20153741,8.36,6542
449,20113653,7.11,1700
450,20090888,7.63,4410
451,20080148,5.41,2440
452,20120426,8.07,4878
453,20101200,8.27,4492
454,20166384,7.1,4134
455,20138544,8.31,4981
456,20090161,8.83,4076
457,20142855,7.85,3950
458,20070548,7.06,2247
459,20110906,6.97,2951
460,20090235,8.71,5156
461,20163217,7.39,4751
462,20113886,6.41,5518
463,20142402,6.9,5994
464,20143541,8.07,2229
465,20100131,7.6,3321
466,20100810,8.12,3023
467,20174603,6.79,7199
468,20126407,9.15,3499
469,20137121,6.13,6093
470,20080709,7.69,1215
471,20158483,8.49,5528
472,20090206,6.92,5376
473,20152782,7.27,4086
474,20119974,8.6,3433
475,20080149,8.66,3263
476,20090391,9.3,6000
477,20090311,7.58,2944
478,20157465,6.97,4509
479,20127595,7.31,4954
480,20100814,9,2518
481,20100215,7.62,804
482,20080291,6.49,2479
483,20100353,7.71,6045
484,20173694,7.46,5152
485,20112589,9.12,7153
486,20111540,8.56,985
487,20163183,8.44,5367
488,20126409,7.09,5376
489,20080032,7.82,3104
490,20101399,7.54,4406
491,20100103,8.3,6493
492,20101395,9.33,6700
493,20167481,7.98,6061
494,20081673,7.8,1751
495,20080830,8.3,2151
496,20168323,5.04,9779
497,20100835,7.92,4843
498,20129787,7.71,3835
499,20124051,7.41,2708
500,20143513,8.92,6620
501,20111571,8.51,1948
502,20134587,8,3896
503,20113671,7.59,3449
