순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,장르,등급,영화구분
2490,유희왕,츠지 하츠키,"포키즈엔터테인먼트,스튜디오 갸룹,TV 토쿄,니콘 광고 시스템 (NAS),토호 컴퍼니",대원씨앤에이홀딩스,에이원엔터테인먼트,2010-01-28,개봉영화,장편,일본,64,95399816,14329,애니메이션,전체관람가,상업영화
2491,터치 오브 라이트,장영치,,"(주)메인타이틀픽쳐스,영화사 마농(주)",씨너스엔터테인먼트(주),2013-03-14,개봉영화,장편,대만,128,94716000,14323,드라마,전체관람가,다양성영화
2492,브링 홈: 아버지의 땅,텐진 체탄 초클리,(주)버디필름,,(주)드림팩트엔터테인먼트,2016-09-01,개봉영화,장편,한국,36,111180200,14289,다큐멘터리,전체관람가,다양성영화
2493,라스트 홈,라민 바흐러니,,"(주)비트윈에프앤아이,(주)엠씨엠씨",(주)브리즈픽처스,2016-04-07,개봉영화,장편,미국,163,109954000,14241,드라마,15세이상관람가,다양성영화
2494,개구리왕국 2,펭 페이,,예지림엔터테인먼트,예지림엔터테인먼트,2017-03-23,개봉영화,장편,중국,171,99741700,14236,애니메이션,전체관람가,다양성영화
2495,하나와 앨리스: 살인사건,이와이 슌지,,씨제이이앤엠(주),씨제이이앤엠(주),2015-05-27,개봉영화,장편,일본,67,112007100,14226,애니메이션,12세이상관람가,다양성영화
2496,아티스트 봉만대,봉만대,골든타이드픽처스(주),,씨너스엔터테인먼트(주),2013-08-29,개봉영화,장편,한국,131,93817000,14188,코미디,청소년관람불가,상업영화
2497,아노말리사,"찰리 카우프만,듀크 존슨",,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2016-03-30,개봉영화,장편,미국,93,115387000,14153,애니메이션,청소년관람불가,다양성영화
2498,중2병이라도 사랑이 하고 싶어! 극장판,이시하라 타츠야,,(주)머스트씨무비,(주)머스트씨무비,2014-02-06,개봉영화,장편,일본,32,90261500,14064,애니메이션,전체관람가,다양성영화
2499,테레즈 라캥,찰리 스트레이턴,,판씨네마(주),판씨네마(주),2014-07-10,개봉영화,장편,미국,48,106422700,14063,범죄,청소년관람불가,다양성영화
2500,그레이시 스토리,데이비스 구겐하임,,판씨네마(주),(주)미로비젼,2008-03-27,개봉영화,장편,미국,90,85848000,14043,드라마,12세이상관람가,상업영화
2501,해피 어게인,커트 보엘커,,(주)엣나인필름,(주)엣나인필름,2018-03-28,개봉영화,장편,미국,98,103052900,14007,드라마,15세이상관람가,다양성영화
2502,마이 마이 신코 이야기,카타부치 스나오,매드 하우스,애니박스 엔터테인먼트,에이원엔터테인먼트,2009-12-10,개봉영화,장편,일본,31,90892500,13955,애니메이션,전체관람가,상업영화
2503,밤과 낮,홍상수,(주)영화사봄,,(주)스폰지이엔티,2008-02-28,개봉영화,장편,한국,18,94755757,13940,드라마,청소년관람불가,다양성영화
