순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,장르,등급,영화구분
782,퍼블릭 에너미,마이클 만,유니버셜 픽쳐스,유니버설픽쳐스인터내셔널 코리아(유),,2009-08-12,개봉영화,장편,미국,292,3424720129,464076,범죄,15세이상관람가,상업영화
783,파르나서스 박사의 상상극장,테리 길리엄,데이비스 필름,(주)성원아이컴,(주)성원아이컴,2009-12-23,개봉영화,장편,미국,305,3364788919,462999,판타지,12세이상관람가,상업영화
784,락아웃: 익스트림미션,"제임스 매더스,스테판 St. 레게르",,데이지엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2012-06-14,개봉영화,장편,미국,374,3373780000,462176,SF,15세이상관람가,상업영화
785,언스토퍼블,토니 스콧,이십세기폭스필름코퍼레이션,이십세기폭스코리아(주),이십세기폭스코리아(주),2010-11-10,개봉영화,장편,미국,309,3325136489,459535,액션,12세이상관람가,상업영화
786,라이프,다니엘 에스피노사,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-04-05,개봉영화,장편,미국,647,3786712210,459421,SF,15세이상관람가,상업영화
787,세 얼간이,라즈쿠마르 히라니,,(주)씨네마드마농,필라멘트픽쳐스,2011-08-18,개봉영화,장편,인도,232,3352570500,458988,코미디,12세이상관람가,다양성영화
788,더 리더: 책 읽어주는 남자,스티븐 달드리,미라지 엔터프라이즈,(주)누리픽쳐스,"(주)노바미디어,에스케이텔레콤(주)",2009-03-26,개봉영화,장편,미국,242,2980253983,457343,드라마,청소년관람불가,다양성영화
789,노브레싱,조용선,"(주)영화사 수작,(주)팝콘에프앤엠,(주)더샘컴퍼니",,(주)나이너스엔터테인먼트,2013-10-30,개봉영화,장편,한국,584,2991824739,451669,드라마,15세이상관람가,상업영화
790,클라우드 아틀라스,"앤디 워쇼스키,라나 워쇼스키,톰 티크베어",,블루미지,(주)넥스트엔터테인먼트월드(NEW),2013-01-09,개봉영화,장편,미국,382,3383430227,449071,SF,청소년관람불가,상업영화
791,히든 피겨스,데오도르 멜피,,이십세기폭스코리아(주),이십세기폭스코리아(주),2017-03-23,개봉영화,장편,미국,448,3576079033,448923,드라마,12세이상관람가,상업영화
792,명탐정 코난:진홍의 연가,시즈노 코분,,씨제이이앤엠(주),씨제이이앤엠(주),2017-08-02,개봉영화,장편,일본,582,3255598200,448381,애니메이션,12세이상관람가,상업영화
793,대한민국 1%,조명남,㈜기억속의매미,,롯데쇼핑㈜롯데엔터테인먼트,2010-05-05,개봉영화,장편,한국,287,2280762516,447569,드라마,12세이상관람가,상업영화
794,빅쇼트,아담 맥케이,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2016-01-21,개봉영화,장편,미국,489,3622268707,446664,드라마,청소년관람불가,상업영화
795,파라노말 액티비티,오렌 펠리,브름하우스 프로덕션,㈜코리아스크린,(주)넥스트엔터테인먼트월드(NEW),2010-01-13,개봉영화,장편,미국,187,3265135449,446510,공포(호러),12세이상관람가,상업영화
796,반드시 잡는다,김홍선,"(주)에이디사공육,씨네주 유한회사",,(주)넥스트엔터테인먼트월드(NEW),2017-11-29,개봉영화,장편,한국,565,3324033772,446379,스릴러,15세이상관람가,상업영화
797,뽀로로 극장판 컴퓨터 왕국 대모험,박영균,(주)오콘,,(주)넥스트엔터테인먼트월드(NEW),2015-12-10,개봉영화,장편,한국,544,3290582700,445014,애니메이션,전체관람가,상업영화
798,헌츠맨: 윈터스 워,세딕 니콜라스 트로얀,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-04-13,개봉영화,장편,미국,557,3544262706,445009,액션,12세이상관람가,상업영화
799,익스펜더블 2,사이먼 웨스트,,데이지엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2012-09-06,개봉영화,장편,미국,393,3206144228,444045,액션,15세이상관람가,상업영화
800,밀레니엄 : 여자를 증오한 남자들,데이빗 핀처,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-01-11,개봉영화,장편,미국,321,3504509000,443889,스릴러,청소년관람불가,상업영화
801,오감도,"허진호,오기환","데이지엔터테인먼트,(주)컬처캡미디어",,(주)시너지하우스 (시너지),2009-07-09,개봉영화,옴니버스,한국,302,3107441952,443462,드라마,청소년관람불가,상업영화
802,"울지마, 톤즈",구수환,"KBS,(주)씨타마운틴픽쳐스",,(주)씨타마운틴픽쳐스,2010-09-09,개봉영화,장편,한국,22,2529614776,441707,다큐멘터리,전체관람가,다양성영화
803,작은 영웅 데스페로,"샘 펠,로버트 스티븐헤이겐",,,유니버설픽쳐스인터내셔널 코리아(유),2009-02-12,개봉영화,장편,미국,180,2549164359,441525,애니메이션,전체관람가,상업영화
804,10억,조민호,(주)이든픽쳐스 ,,(주)싸이더스,2009-08-06,개봉영화,장편,한국,252,3142668973,438833,스릴러,15세이상관람가,상업영화
805,워리어스 웨이,이승무,"컬쳐 언플러그드 스튜디오,(주)에스씨에스엔터테인먼트",에스케이텔레콤(주),에스케이텔레콤(주),2010-12-01,개봉영화,장편,미국,441,3134328730,437101,액션,15세이상관람가,상업영화
806,아기와 나,김진영,(주)프라임엔터테인먼트,,(주)프라임엔터테인먼트,2008-08-14,개봉영화,장편,한국,217,2667055000,435551,드라마,12세이상관람가,상업영화
807,시즌 오브 더 위치: 마녀 호송단,도미닉 세나,,(주)넥스트엔터테인먼트월드(NEW),(주)넥스트엔터테인먼트월드(NEW),2011-01-13,개봉영화,장편,미국,218,3277434500,435201,어드벤처,15세이상관람가,상업영화
808,원라인,양경모,"(주)미인픽쳐스,(주)곽픽쳐스",,(주)넥스트엔터테인먼트월드(NEW),2017-03-29,개봉영화,장편,한국,613,3310122433,433825,범죄,15세이상관람가,상업영화
809,마법에 걸린 사랑,케빈 리마,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2008-01-10,개봉영화,장편,미국,247,2747631000,431376,멜로/로맨스,전체관람가,상업영화
810,"협녀, 칼의 기억",박흥식,(주)티피에스컴퍼니,,롯데쇼핑㈜롯데엔터테인먼트,2015-08-13,개봉영화,장편,한국,572,3360045489,431310,사극,15세이상관람가,상업영화
811,터닝메카드W: 블랙미러의 부활,"홍헌표,김석원",㈜희원엔터테인먼트,,씨네그루(주)키다리이엔티,2017-01-18,개봉영화,장편,한국,570,3213263000,429569,애니메이션,전체관람가,다양성영화
812,창수,이덕희,"영화사 아람(주),(주)마이더스필름",,"(주)마인스 엔터테인먼트,(주)박수엔터테인먼트",2013-11-28,개봉영화,장편,한국,415,3146542000,429141,드라마,청소년관람불가,상업영화
813,랭고,고어 버빈스키,,씨제이이앤엠(주),씨제이이앤엠(주),2011-03-03,개봉영화,장편,미국,314,3039396000,428896,애니메이션,전체관람가,상업영화
814,오피스,홍원찬,(주)영화사꽃,,(주)리틀빅픽쳐스,2015-09-03,개봉영화,장편,한국,425,3354086230,428429,스릴러,15세이상관람가,상업영화
815,모비딕,박인제,"(주)쇼박스,(주)팔레트픽처스",,(주)쇼박스,2011-06-09,개봉영화,장편,한국,377,3246572000,428139,스릴러,15세이상관람가,상업영화
816,스머프: 비밀의 숲,캘리 애스버리,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-04-28,개봉영화,장편,미국,607,3122661000,427764,애니메이션,전체관람가,상업영화
817,두 개의 달,김동빈,"(주)고스트픽처스,(주)주피터필름,롯데쇼핑㈜롯데엔터테인먼트",,롯데쇼핑㈜롯데엔터테인먼트,2012-07-12,개봉영화,장편,한국,347,2944786748,425972,공포(호러),15세이상관람가,상업영화
818,나를 잊지 말아요,이윤정,(주)더블유 팩토리,,씨제이이앤엠(주),2016-01-07,개봉영화,장편,한국,559,3398915000,425799,멜로/로맨스,15세이상관람가,상업영화
819,드래곤볼 에볼루션,제임스 왕,이십세기폭스필름코퍼레이션,이십세기폭스코리아(주),이십세기폭스코리아(주),2009-03-12,개봉영화,장편,미국,278,2695732696,425571,액션,전체관람가,상업영화
820,다이버전트,닐 버거,,(유)조이앤컨텐츠그룹,롯데쇼핑㈜롯데엔터테인먼트,2014-04-16,개봉영화,장편,미국,511,3297709011,424041,SF,15세이상관람가,상업영화
821,티끌모아 로맨스,김정환,"(주)아이에이치큐,㈜인디스토리",,필라멘트픽쳐스,2011-11-10,개봉영화,장편,한국,294,2942253500,424002,멜로/로맨스,15세이상관람가,상업영화
822,신이 보낸 사람,김진무,주식회사 태풍코리아,,"(주)씨타마운틴픽쳐스,(주)마인스 엔터테인먼트",2014-02-13,개봉영화,장편,한국,285,3059228600,423026,드라마,15세이상관람가,다양성영화
823,기다리다 미쳐,류승진,"블루버스 픽쳐스,(주)아이필름홀딩스",,(주)시네마서비스,2008-01-01,개봉영화,장편,한국,239,2725342667,422363,멜로/로맨스,15세이상관람가,상업영화
824,흥부: 글로 세상을 바꾼 자,조근현,"(주)영화사 궁,(주)발렌타인필름",,롯데쇼핑㈜롯데엔터테인먼트,2018-02-14,개봉영화,장편,한국,627,3381320200,416348,사극,12세이상관람가,상업영화
825,무뢰한,오승욱,(주)사나이픽처스,,CGV아트하우스,2015-05-27,개봉영화,장편,한국,482,3262087431,414626,멜로/로맨스,청소년관람불가,상업영화
826,늑대소년-확장판,조성희,(주)영화사비단길,,씨제이이앤엠(주),2012-12-06,개봉영화,장편,한국,278,2868302500,414083,멜로/로맨스,15세이상관람가,상업영화
827,킹 아서: 제왕의 검,가이 리치,,워너브러더스 코리아(주),워너브러더스 코리아(주),2017-05-17,개봉영화,장편,영국,588,3348220655,412843,판타지,12세이상관람가,상업영화
828,주온 : 끝의 시작,오치아이 마사유키,,(주)엔케이컨텐츠,(주)넥스트엔터테인먼트월드(NEW),2014-07-16,개봉영화,장편,일본,394,3071127231,410644,공포(호러),15세이상관람가,상업영화
829,러빙 빈센트,"도로타 코비엘라,휴 웰치맨",,(주)퍼스트런,판씨네마(주),2017-11-09,개봉영화,장편,영국,272,3250561261,408089,애니메이션,15세이상관람가,다양성영화
830,넛잡 2,캘런 브런커,"(주)레드로버,툰박스 엔터테인먼트",,롯데쇼핑㈜롯데엔터테인먼트,2017-10-03,개봉영화,장편,한국,526,3038945100,407727,애니메이션,전체관람가,상업영화
831,니코: 산타비행단의 모험,"캐리 주스넌,요르겐 레르담",,데이지엔터테인먼트,씨너스엔터테인먼트(주),2012-12-25,개봉영화,장편,핀란드,306,2786834000,407264,애니메이션,전체관람가,상업영화
832,나의 소녀시대,프랭키 첸,,오드,오드,2016-05-12,개봉영화,장편,대만,176,3292020500,406284,멜로/로맨스,15세이상관람가,다양성영화
833,섹스 앤 더 시티 2,마이클 패트릭 킹,"뉴라인 시네마,HBO필름",워너브러더스 코리아(주),워너브러더스 코리아(주),2010-06-10,개봉영화,장편,미국,238,3074026799,405580,드라마,청소년관람불가,상업영화
834,좋은 친구들,이도윤,"오퍼스픽쳐스,굿초이스컷픽쳐스(주)",,씨제이이앤엠(주),2014-07-10,개봉영화,장편,한국,371,3201527031,404456,범죄,청소년관람불가,상업영화
835,아메리칸 메이드,더그 라이만,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-09-14,개봉영화,장편,미국,691,3175539145,401541,범죄,15세이상관람가,상업영화
836,아스트로 보이-아톰의 귀환,데이빗 보워스,이미지애니메이션스튜디오,㈜케이디미디어,㈜케이디미디어,2010-01-13,개봉영화,장편,미국,285,2640270821,401477,애니메이션,전체관람가,상업영화
837,닌자터틀,조나단 리브스만,,씨제이이앤엠(주),씨제이이앤엠(주),2014-08-28,개봉영화,장편,미국,479,3321120147,400329,액션,12세이상관람가,상업영화
838,판타스틱 4,조쉬 트랭크,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-08-20,개봉영화,장편,미국,451,3029310600,399667,액션,12세이상관람가,상업영화
839,익스펜더블,실베스터 스탤론,밀레니엄 필름즈,(주)동아수출공사,(주)싸이더스,2010-08-19,개봉영화,장편,미국,256,3025538174,398097,스릴러,청소년관람불가,상업영화
840,사랑이 무서워,정우철,"(주)위픽쳐스,(주)디씨지플러스",,롯데쇼핑㈜롯데엔터테인먼트,2011-03-10,개봉영화,장편,한국,290,2992783000,397923,코미디,15세이상관람가,상업영화
841,몬스터 패밀리,호거 태프,,(주)우성엔터테인먼트,씨네그루(주)키다리이엔티,2017-12-21,개봉영화,장편,독일,617,2941215700,397641,애니메이션,전체관람가,상업영화
842,명탐정 코난 : 이차원의 저격수,시즈노 코분,,씨제이이앤엠(주),씨제이이앤엠(주),2014-08-06,개봉영화,장편,일본,299,2757396000,397381,애니메이션,12세이상관람가,상업영화
843,집행자,최진호,"활동사진,(주)스폰지이엔티,(주)발콘",,"(주)스폰지이엔티,실버스푼",2009-11-05,개봉영화,장편,한국,264,2961477652,395865,드라마,청소년관람불가,다양성영화
844,헬보이 2 : 골든 아미,길예르모 델 토로,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2008-09-25,개봉영화,장편,미국,279,2522851500,391513,SF,12세이상관람가,상업영화
845,멋진 하루,이윤기,"(주)스폰지이엔티,(주)영화사봄",,롯데쇼핑㈜롯데엔터테인먼트,2008-09-25,개봉영화,장편,한국,299,2554838451,390741,드라마,12세이상관람가,다양성영화
846,명탐정 코난 : 수평선상의 음모,야마모토 야스이치로,,씨제이이앤엠(주),씨제이이앤엠(주),2013-08-07,개봉영화,장편,일본,316,2460173000,389253,애니메이션,12세이상관람가,상업영화
847,론 레인저,고어 버빈스키,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-07-04,개봉영화,장편,미국,401,2750149500,387527,액션,15세이상관람가,상업영화
848,내 심장을 쏴라,문제용,(주)주피터필름,,"(주)리틀빅픽쳐스,(주)이수C&E",2015-01-28,개봉영화,장편,한국,452,2856859132,387409,드라마,15세이상관람가,상업영화
849,나의 독재자,이해준,반짝반짝영화사(주),,롯데쇼핑㈜롯데엔터테인먼트,2014-10-30,개봉영화,장편,한국,654,2906692546,385934,드라마,15세이상관람가,상업영화
850,명장,진가신,,"(주)스폰지이엔티,미디어소프트","롯데쇼핑㈜롯데엔터테인먼트,미디어소프트",2008-01-30,개봉영화,장편,중국,236,2559950500,385841,액션,청소년관람불가,상업영화
851,천재 강아지 미스터 피바디,롭 민코프,,씨제이이앤엠(주),씨제이이앤엠(주),2014-04-24,개봉영화,장편,미국,533,2859791400,385552,애니메이션,전체관람가,상업영화
852,언더 워터,자움 콜렛 세라,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-07-13,개봉영화,장편,미국,518,3111772391,384789,공포(호러),15세이상관람가,상업영화
853,크로니클,조쉬 트랭크,,이십세기폭스코리아(주),이십세기폭스코리아(주),2012-03-15,개봉영화,장편,미국,324,2881024000,383862,액션,15세이상관람가,상업영화
854,보통사람,김봉한,"(주)트리니티엔터테인먼트,(주)영화사장춘",,오퍼스픽쳐스,2017-03-23,개봉영화,장편,한국,621,2956397623,383336,드라마,15세이상관람가,상업영화
855,소수의견,김성제,(주)하리마오픽쳐스,,(주)시네마서비스,2015-06-24,개봉영화,장편,한국,398,2891431205,383332,드라마,15세이상관람가,상업영화
856,트론: 새로운 시작,조셉 코신스키,라이브플래닛,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2010-12-29,개봉영화,장편,미국,379,4258700247,382607,SF,12세이상관람가,상업영화
857,내 이름은 칸,카란 조하르,,프리비젼엔터테인먼트,필라멘트픽쳐스,2011-03-24,개봉영화,장편,인도,84,2820922500,381243,드라마,12세이상관람가,다양성영화
858,대장 김창수,이원태,"(주)비에이엔터테인먼트,(주)무비스퀘어",,"씨네그루(주)키다리이엔티,주식회사 키위컴퍼니",2017-10-19,개봉영화,장편,한국,748,2871905115,380581,드라마,12세이상관람가,상업영화
859,스토커,박찬욱,,이십세기폭스코리아(주),이십세기폭스코리아(주),2013-02-28,개봉영화,장편,미국,329,2828301674,378729,드라마,청소년관람불가,상업영화
860,공자 춘추전국시대,후메이,베이징 다디 센츄리,"아이엠제이 유한회사,프리비젼엔터테인먼트",(주)시너지하우스 (시너지),2010-02-11,개봉영화,장편,중국,243,2819298799,377801,드라마,12세이상관람가,상업영화
861,프롬 파리 위드 러브,피에르 모렐,유로파 Corp.,㈜케이디미디어,㈜케이디미디어,2010-03-11,개봉영화,장편,프랑스,300,2850441248,375573,액션,청소년관람불가,상업영화
862,컨트롤러,조지 놀피,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2011-03-03,개봉영화,장편,미국,371,2862234500,373344,스릴러,12세이상관람가,상업영화
863,눈의 여왕 3: 눈과 불의 마법대결,알렉세이 트시칠린,,(주)시네마리퍼블릭,(주)이수C&E,2017-01-04,개봉영화,장편,러시아,526,2694247700,366442,애니메이션,전체관람가,다양성영화
864,극장판 포켓 몬스터 DP 「환영의 패왕 조로아크」,유야마 쿠니히코,이스트저팬마케팅앤커뮤니케이션,(주)포켓몬코리아,씨제이 씨지브이(CJ CGV)(주),2010-12-23,개봉영화,장편,일본,140,2557477869,366277,애니메이션,전체관람가,상업영화
865,문프린세스 : 문에이커의 비밀,가버 추보,,(주)성원아이컴,(주)성원아이컴,2009-02-19,개봉영화,장편,영국,262,2260376662,365525,어드벤처,전체관람가,상업영화
866,그레이의 50가지 그림자,샘 테일러-존슨,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-02-26,개봉영화,장편,미국,512,2918598796,364415,드라마,청소년관람불가,상업영화
867,파라노말 액티비티 2,토드 윌리엄스,파라마운트 픽쳐스,씨제이엔터테인먼트,씨제이엔터테인먼트,2010-10-21,개봉영화,장편,미국,177,2616761211,364251,공포(호러),12세이상관람가,다양성영화
868,레드 라이딩 후드,캐서린 하드윅,,워너브러더스 코리아(주),워너브러더스 코리아(주),2011-03-17,개봉영화,장편,미국,249,2728562500,362572,드라마,15세이상관람가,상업영화
869,펠햄 123,토니 스콧,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2009-06-11,개봉영화,장편,미국,241,2415075136,360661,액션,15세이상관람가,상업영화
870,홈,팀 존슨,,씨제이이앤엠(주),씨제이이앤엠(주),2015-05-21,개봉영화,장편,미국,532,2692225691,360556,애니메이션,전체관람가,상업영화
871,블라인드 사이드,존 리 행콕,워너 브러더스 픽쳐스,워너브러더스 코리아(주),워너브러더스 코리아(주),2010-04-15,개봉영화,장편,미국,132,2643699147,359899,드라마,12세이상관람가,다양성영화
872,극장판 포켓몬스터 베스트 위시「비크티니와 백의 영웅 레시라무」,유야마 쿠니히코,,(주)포켓몬코리아,씨제이이앤엠(주),2011-12-22,개봉영화,장편,일본,237,2382820000,359663,애니메이션,전체관람가,상업영화
873,크리스마스 캐롤,로버트 저메키스,월트 디즈니 픽쳐스,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2009-11-26,개봉영화,장편,미국,173,2703851150,358286,애니메이션,전체관람가,상업영화
874,데스노트 L: 새로운 시작,나카타 히데오,,"(주)엔케이컨텐츠,(주)스폰지이엔티","(주)엔케이컨텐츠,(유)씨에이치엔터테인먼트",2008-02-21,개봉영화,장편,일본,243,2174665500,358046,스릴러,15세이상관람가,상업영화
875,클로버필드 10번지,댄 트라첸버그,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2016-04-07,개봉영화,장편,미국,575,2922834655,356976,미스터리,15세이상관람가,상업영화
876,경성학교: 사라진 소녀들,이해영,"청년필름(주),비밀의화원",,롯데쇼핑㈜롯데엔터테인먼트,2015-06-18,개봉영화,장편,한국,489,2749027700,356342,미스터리,15세이상관람가,상업영화
877,어쌔신 크리드,저스틴 커젤,,이십세기폭스코리아(주),이십세기폭스코리아(주),2017-01-11,개봉영화,장편,미국,566,2899270921,355813,액션,15세이상관람가,상업영화
878,플립,롭 라이너,,(주)팝엔터테인먼트,(주)팝엔터테인먼트,2017-07-12,개봉영화,장편,미국,249,2818791900,354601,드라마,12세이상관람가,상업영화
879,석조저택 살인사건,"정식,김휘",주식회사 영화사다,,씨네그루(주)키다리이엔티,2017-05-09,개봉영화,장편,한국,539,2815742886,351830,스릴러,15세이상관람가,상업영화
880,커플즈,정용기,"시오필름(주),(주)바른손이앤에이",,(주)싸이더스,2011-11-02,개봉영화,장편,한국,387,2646578500,351779,멜로/로맨스,15세이상관람가,상업영화
881,미드나잇 인 파리,우디 알렌,,"(주)드림팩트엔터테인먼트,(주)더블앤조이픽쳐스","(주)드림팩트엔터테인먼트,(주)나이너스엔터테인먼트",2012-07-05,개봉영화,장편,미국,189,2607349898,351555,코미디,15세이상관람가,다양성영화
882,싱글라이더,이주영,(주)퍼펙트스톰필름,,워너브러더스 코리아(주),2017-02-22,개봉영화,장편,한국,576,2685519021,351276,드라마,15세이상관람가,상업영화
883,그녀,스파이크 존즈,,주식회사 더쿱,유니버설픽쳐스인터내셔널 코리아(유),2014-05-22,개봉영화,장편,미국,168,2861230000,351091,드라마,청소년관람불가,다양성영화
884,오즈 그레이트 앤드 파워풀,샘 레이미,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-03-07,개봉영화,장편,미국,425,2886185000,350563,판타지,전체관람가,상업영화
885,극장판 포켓몬스터 베스트위시「큐레무 VS 성검사 케르디오」,유야마 쿠니히코,,(주)포켓몬코리아,씨제이이앤엠(주),2012-12-19,개봉영화,장편,일본,275,1357449750,348883,애니메이션,전체관람가,상업영화
886,해프닝,M. 나이트 샤말란,,이십세기폭스코리아(주),이십세기폭스코리아(주),2008-06-12,개봉영화,장편,미국,244,2366614500,348772,SF,청소년관람불가,상업영화
887,7호실,이용승,(주)명필름,,롯데쇼핑㈜롯데엔터테인먼트,2017-11-15,개봉영화,장편,한국,629,2677284639,347790,코미디,15세이상관람가,상업영화
888,치외법권,신동엽,"(주)유니프로,(주)스톰픽쳐스코리아",,판씨네마(주),2015-08-27,개봉영화,장편,한국,446,2664941005,346483,액션,15세이상관람가,상업영화
889,짱구는 못말려 극장판 : 초시공! 태풍을 부르는 나의 신부,시기노 아키라,,대원미디어(주),씨제이이앤엠(주),2011-05-05,개봉영화,장편,일본,306,2319696500,346441,애니메이션,전체관람가,상업영화
890,링컨: 뱀파이어 헌터,티무르 베크맘베토브,,이십세기폭스코리아(주),이십세기폭스코리아(주),2012-08-30,개봉영화,장편,미국,337,2750911500,344876,액션,청소년관람불가,상업영화
891,아메리칸 스나이퍼,클린트 이스트우드,,워너브러더스 코리아(주),워너브러더스 코리아(주),2015-01-14,개봉영화,장편,미국,308,2800001438,344766,액션,청소년관람불가,상업영화
892,포켓 몬스터 DP: 아르세우스 초극의 시공으로,유야마 쿠니히코,,트랜샌댄스,실버스푼,2009-12-24,개봉영화,장편,일본,79,2276651793,343268,애니메이션,전체관람가,상업영화
893,숲속으로,롭 마샬,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2014-12-24,개봉영화,장편,미국,356,2596533288,341882,뮤지컬,전체관람가,상업영화
894,하이힐,장진,장차앤코,,롯데쇼핑㈜롯데엔터테인먼트,2014-06-03,개봉영화,장편,한국,385,2735972500,339844,범죄,청소년관람불가,상업영화
895,음치 클리닉 ,김진영,(주)전망좋은 영화사,,롯데쇼핑㈜롯데엔터테인먼트,2012-11-29,개봉영화,장편,한국,360,2248238000,338168,멜로/로맨스,12세이상관람가,상업영화
896,맨발의 꿈,김태균,"(주)캠프비,(주)쇼박스",,(주)쇼박스,2010-06-24,개봉영화,장편,한국,333,2413427097,338080,드라마,전체관람가,상업영화
897,바스터즈: 거친 녀석들,쿠엔틴 타란티노,더 웨인스테인 컴퍼니,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2009-10-28,개봉영화,장편,미국,257,2547650425,336312,액션,청소년관람불가,상업영화
898,패딩턴 2,폴 킹,,(주)누리픽쳐스,(주)이수C&E,2018-02-08,개봉영화,장편,프랑스,629,2527056200,335906,코미디,전체관람가,다양성영화
899,늑대아이,호소다 마모루,,얼리버드,(주)미디어데이,2012-09-13,개봉영화,장편,일본,226,2310113761,335706,애니메이션,전체관람가,다양성영화
900,미나문방구,정익환,(주)별의별,,롯데쇼핑㈜롯데엔터테인먼트,2013-05-16,개봉영화,장편,한국,385,2247017000,334323,드라마,전체관람가,상업영화
901,내 사랑,에이슬링 월쉬,,오드,오드,2017-07-12,개봉영화,장편,아일랜드,233,2437242625,333730,드라마,12세이상관람가,다양성영화
902,극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,하시모토 마사카즈,,씨제이이앤엠(주),씨제이이앤엠(주),2017-07-20,개봉영화,장편,일본,547,2417712700,333082,애니메이션,전체관람가,상업영화
903,남영동1985,정지영,(주)아우라픽처스,,"씨너스엔터테인먼트(주),(주)엣나인필름",2012-11-22,개봉영화,장편,한국,310,2358629601,332619,드라마,15세이상관람가,다양성영화
904,에베레스트,발타자르 코루마쿠르,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-09-24,개봉영화,장편,미국,331,3055119748,332180,어드벤처,12세이상관람가,상업영화
905,위자: 저주의 시작,마이크 플래너건,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-11-09,개봉영화,장편,미국,467,2637517406,331877,공포(호러),12세이상관람가,상업영화
906,무서운 이야기,"정범식,임대웅,홍지영,김곡,김선,민규동","(주)수필름,데이지엔터테인먼트",,롯데쇼핑㈜롯데엔터테인먼트,2012-07-25,개봉영화,옴니버스,한국,274,2452368566,331760,공포(호러),청소년관람불가,상업영화
907,극장판 요괴워치: 염라대왕과 5개의 이야기다냥!,타카하시 시게하루,,씨제이이앤엠(주),씨제이이앤엠(주),2016-07-20,개봉영화,장편,일본,403,2466913080,330665,애니메이션,전체관람가,상업영화
908,킬러스,로버트 루게틱,"카탈스트 필름,라이온스 게이트 필름즈",(주)넥스트엔터테인먼트월드(NEW),(주)넥스트엔터테인먼트월드(NEW),2010-09-02,개봉영화,장편,미국,280,2428979292,329086,액션,15세이상관람가,상업영화
909,선 오브 갓,크리스토퍼 스펜서,,(주)수키픽쳐스,(주)프레인글로벌,2014-04-10,개봉영화,장편,미국,419,2392109800,329029,드라마,12세이상관람가,상업영화
910,프로포즈,앤 플레쳐,터치스톤 픽쳐스,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2009-09-03,개봉영화,장편,미국,174,2481694139,328767,멜로/로맨스,15세이상관람가,상업영화
911,링컨 차를 타는 변호사,브래드 퍼맨,,(주)더블앤조이픽쳐스,씨너스엔터테인먼트(주),2011-06-16,개봉영화,장편,미국,241,2443603500,327612,범죄,15세이상관람가,상업영화
912,잭 라이언 : 코드네임 쉐도우,케네스 브래너,,씨제이이앤엠(주),씨제이이앤엠(주),2014-01-16,개봉영화,장편,미국,419,2395409500,327591,액션,12세이상관람가,상업영화
913,스폰지밥 3D,폴 티비트,,씨제이이앤엠(주),씨제이이앤엠(주),2015-02-18,개봉영화,장편,미국,357,2458946200,325016,애니메이션,전체관람가,상업영화
