,movieCd,director_score,openDt_score,prdtYear_score,repNationNm_score,repGenreNm_score,showTm_score,watchGradeNm_score,distributor_score,actor_score,starScore,userCount,previous_screen,screen_D1,screen_D2,screen_D3,screen_D4,screen_D5,screen_D6,screen_D7,previous_show,show_D1,show_D2,show_D3,show_D4,show_D5,show_D6,show_D7,previous_audience,audience_D1,audience_D2,audience_D3,audience_D4,audience_D5,audience_D6,audience_D7,final_audience
1535,20151782,0.768822179,6.91932442,14.26704247,5.857089158,3.310475864,4.809187271,5.71200294,1.887070148,1.252862636,5.704547488,0.385987725,0.114337727,0.198944579,0.205633177,0.206394423,0.184791042,0.18622352,0.204306426,0.209618883,0.048064478,0.169359651,0.165216332,0.152338269,0.138914428,0.14418905,0.148754164,0.146772439,0.088336944,0.036499716,0.049850093,0.033088906,0.023946056,0.046379661,0.076751692,0.049237881,80734
1536,20100764,0.768822179,7.413561879,13.31590631,4.624017756,3.310475864,2.718236283,7.030157464,1.887070148,1.030836346,5.572088955,0.113467326,0.044464672,0.416657514,0.400250291,0.381304951,0.372941922,0.37244704,0.394019535,0.396778599,0.020237675,0.459169054,0.415177248,0.388563249,0.365936617,0.363810335,0.375057892,0.390414689,0.046252908,0.095613724,0.086702598,0.071154244,0.091753761,0.096273488,0.076269432,0.081702127,79088
1537,20122101,0.768822179,8.402036796,14.26704247,3.082678504,3.310475864,4.809187271,7.030157464,1.887070148,1.030836346,7.444169555,0.070153766,0.057168864,0.022522028,0.095472547,0.101448106,0.087355765,0.09311176,0.087559897,0.082350275,0.022767384,0.008029983,0.037031247,0.036239059,0.03022675,0.032042011,0.031724822,0.027886763,0.041544958,0.01364727,0.01329856,0.012460922,0.013088102,0.013646675,0.023498122,0.036677466,81071
1538,20112821,0.768822179,6.425086962,13.31590631,4.624017756,3.565127854,2.718236283,5.71200294,3.019312237,1.046695367,6.949657699,0.089467353,0.235027551,0.746980587,0.745420267,0.734624217,0.695486286,0.710408244,0.736962464,0.494101652,0.134074595,0.668678622,0.700032992,0.547612455,0.508709779,0.551389608,0.568226807,0.269327426,0.383823664,0.083001907,0.115885859,0.126553756,0.077905665,0.052485524,0.079753761,0.043492581,80197
1539,20161527,0.768822179,6.425086962,14.26704247,4.624017756,4.074431833,2.718236283,7.030157464,2.830605222,1.348016761,7.497152969,0.14101759,0.120689823,1.264987226,1.299895442,1.227871906,1.159143811,1.093201035,1.222190224,0.838475531,0.048064478,0.702988551,0.688638762,0.559692141,0.510639146,0.598117541,0.626036482,0.325834815,0.051176489,0.090508941,0.114135755,0.117085043,0.083113496,0.050567375,0.086662137,0.044985038,81966
1540,20161968,0.768822179,5.930849503,14.26704247,4.624017756,3.565127854,2.718236283,5.71200294,2.075777163,1.11013145,6.569943237,0.079384525,0.241379647,1.418887749,1.410056072,1.385291381,1.30025697,1.2276958,1.287860147,1.328833989,0.096128955,1.010317918,1.039011328,0.832827275,0.728657623,0.728288211,0.77056067,0.756611925,0.081113297,0.112015299,0.151300382,0.140967153,0.076902721,0.04301192,0.072351069,0.078743628,79701
1541,20110030,0.768822179,7.413561879,13.31590631,3.082678504,3.055823874,2.718236283,5.272618098,1.887070148,1.062554388,7.541305813,0.017183412,0.025408384,0.506745625,0.495722838,0.493247689,0.467017361,0.451764466,0.496172748,0.501588041,0.012648547,0.209509568,0.202247579,0.220789825,0.20515603,0.162880223,0.189643934,0.181263963,0.019227122,0.048138207,0.054587635,0.128426863,0.081425312,0.017907601,0.044765792,0.057043564,84819
1542,20090190,0.768822179,6.91932442,13.31590631,4.624017756,3.565127854,2.718236283,7.908927147,5.0950894,1.046695367,6.048939674,0.03308872,0.019056288,0.502991953,0.506738901,0.479254846,0.45693785,0.455213049,0.477931103,0.505331235,0.007589128,0.631448699,0.645198261,0.638881197,0.576880748,0.526023016,0.551306902,0.488018361,0.025408552,0.082494536,0.11635404,0.15265026,0.090887866,0.041437866,0.072821272,0.071096436,78282
1543,20179226,0.768822179,7.413561879,14.26704247,3.082678504,3.055823874,2.090950987,5.272618098,1.887070148,1.062554388,7.426508418,0.017467436,0.06352096,0.615602092,0.565491237,0.468760215,0.48045671,0.513838972,0.529007709,0.44918332,0.025297093,0.225569535,0.188004791,0.144285144,0.141486917,0.148861843,0.155099128,0.113014778,0.072164599,0.248695086,0.056360033,0.044994245,0.031595837,0.059418679,0.103589466,0.032517077,79446
1544,20147948,0.768822179,6.91932442,15.21817864,4.624017756,3.310475864,2.718236283,7.030157464,1.887070148,1.094272429,7.656103208,0.095857879,0.29854851,0.788270972,0.774796436,0.766108112,0.745883843,0.731099746,0.762500767,0.808529976,0.121426049,0.414639145,0.423010781,0.414735903,0.376869697,0.362475251,0.418767647,0.438115732,0.217823523,0.051503429,0.071486727,0.060756915,0.072560786,0.068423728,0.068637666,0.079258724,80699
1545,20149511,0.768822179,9.884749172,15.21817864,3.082678504,3.310475864,2.718236283,7.030157464,1.887070148,1.030836346,3.541058116,0.103668521,0.012704192,0.769502615,0.82620473,0.797592007,0.799641237,0.789725669,0.798984057,0.860934697,0.005059419,0.45113907,0.46787556,0.442921838,0.382014676,0.379163798,0.425112611,0.455728424,0.007690849,0.095914006,0.095074114,0.108156039,0.104704815,0.105812983,0.084262893,0.106004085,79017
1546,20173642,0.768822179,7.413561879,15.21817864,3.082678504,3.310475864,2.718236283,7.908927147,1.887070148,1.030836346,7.064455094,0.113041291,0.107985631,0.427918527,0.436970502,0.472258425,0.470377198,0.417278629,0.445096141,0.400521794,0.043005059,0.218999549,0.220051063,0.201328108,0.191007338,0.204935363,0.219253768,0.127692022,0.059334538,0.050229822,0.068053402,0.069884341,0.054320918,0.025133603,0.041679328,0.044086922,80839
1547,20126253,0.768822179,7.413561879,13.31590631,3.082678504,3.055823874,2.090950987,5.272618098,1.887070148,1.062554388,6.499298686,0.007952654,0.03176048,0.371613458,0.418610397,0.647168953,0.641728892,0.337961203,0.404964522,0.434210543,0.012648547,0.094169806,0.107533044,0.243607011,0.236669025,0.088115531,0.097289453,0.106410019,0.009020575,0.013129543,0.015795524,0.110711718,0.107408402,0.005263927,0.016481238,0.022347236,79654
1548,20090411,0.768822179,9.884749172,13.31590631,4.624017756,3.310475864,2.718236283,7.030157464,1.887070148,1.046695367,6.340348447,0.08833126,0.03176048,0.566804365,0.550803153,0.538724426,0.517414918,0.527633307,0.565490999,0.583938316,0.015178256,0.501508966,0.477845511,0.434868714,0.376226575,0.375826089,0.418767647,0.425640074,0.035471344,0.06700416,0.09528591,0.075162375,0.077457144,0.07875391,0.097705893,0.101222939,77848
1549,20177761,0.768822179,9.884749172,15.21817864,3.082678504,3.055823874,2.718236283,5.272618098,1.887070148,0.951541243,6.78187689,0.029254404,0.285844319,0.934664152,0.873941003,1.171900537,1.152424136,0.924220434,1.028828786,0.348117073,0.113836921,0.201479585,0.190853349,0.317427317,0.313200585,0.242985251,0.269308487,0.075587806,0.21814697,0.048314234,0.046884948,0.158150526,0.125399091,0.04345119,0.086372781,0.023654787,78440
