,movieCd,movieNm,director1,director2,prdtYear,openDt,typeNm,repNationNm,repGenreNm,companyCd
611,20100256,내 깡패 같은 애인,김광식, ,2010,20100520,장편,한국,드라마,20100278
612,20130522,트랜센던스,월리 피스터, ,2014,20140514,장편,미국,SF, 
613,20080946,님스 아일랜드,마크 레빈, ,2008,20080717,장편,미국,코미디, 
614,20110303,통증,곽경택, ,2011,20110907,장편,한국,멜로/로맨스,20111231
615,20156007,인페르노,론 하워드, ,2016,20161019,장편,미국,미스터리, 
616,20090176,분노의 질주: 더 오리지널,저스틴 린, ,2009,20090402,장편,미국,액션, 
617,20100382,스텝 업 3D,존 추, ,2010,20100805,장편,미국,드라마,20112212
618,20080038,스파이더위크가의 비밀,마크 S. 워터스, ,2007,20080214,장편,미국,어드벤처, 
619,20158241,픽셀,크리스 콜럼버스, ,2015,20150716,장편,미국,액션, 
620,20156207,앵그리버드 더 무비,퍼갈 레일리,클레이 케이티스,2016,20160519,장편,미국,애니메이션, 
621,20161744,트롤,마이크 미첼,월트 도른,2016,20170216,장편,미국,애니메이션,20103156
622,20090195,몬스터 vs 에이리언,롭 레터맨,콘래드 베논,2009,20090423,장편,미국,애니메이션,20103156
623,20110296,고양이: 죽음을 보는 두 개의 눈,변승욱, ,2011,20110707,장편,한국,공포(호러),20100787
624,20161084,패신저스,모튼 틸덤, ,2016,20170104,장편,미국,어드벤처, 
625,20090718,하늘에서 음식이 내린다면,필 로드,크리스 밀러,2009,20100211,장편,미국,애니메이션,20101269
626,20090412,명탐정 코난 : 칠흑의 추적자,야마모토 타이치로, ,2009,20090729,장편,일본,애니메이션, 
627,20112651,삼총사 3D,폴 W.S. 앤더슨, ,2011,20111012,장편,독일,액션, 
628,20090169,실종,김성홍, ,2009,20090319,장편,한국,범죄,20100125
629,20156748,열정같은소리하고있네,정기훈, ,2015,20151125,장편,한국,드라마,20100432
630,20119420,아이 엠 넘버 포,D.J. 카루소, ,2010,20110224,장편,미국,액션, 
631,20131246,엔더스 게임,개빈 후드, ,2013,20131231,장편,미국,SF, 
632,20068576,그날의 분위기,조규장, ,2015,20160114,장편,한국,멜로/로맨스,20123837
633,20090327,여고괴담 5,이종용, ,2009,20090618,장편,한국,공포(호러),20100025
634,20081244,울학교 이티,박광춘, ,2008,20080911,장편,한국,드라마,20100375
635,20090953,오션스,자끄 페렝,자크 클로드,2009,20100728,장편,프랑스,다큐멘터리,20102470
636,20151227,아빠는 딸,김형협, ,2016,20170412,장편,한국,코미디,20142433
637,20154906,사냥,이우철, ,2016,20160629,장편,한국,액션,20123063
638,20081535,눈먼자들의 도시,페르난도 메이렐레스, ,2008,20081120,장편,캐나다,드라마, 
639,20110657,리오,카를로스 살다나, ,2011,20110727,장편,미국,애니메이션, 
640,20110911,명탐정 코난 : 침묵의 15분,시즈노 코분, ,2011,20110803,장편,일본,애니메이션, 
641,20090528,페임,케빈 탄차로엔, ,2009,20090924,장편,미국,코미디,20104223
642,20112311,머니볼,베넷 밀러, ,2011,20111117,장편,미국,드라마, 
643,20080393,호튼,지미 헤이워드,스티브 마티노,2008,20080430,장편,미국,애니메이션, 
644,20113745,스노우 화이트 앤 더 헌츠맨,루퍼트 샌더스, ,2012,20120530,장편,미국,액션, 
645,20145396,널 기다리며,모홍진, ,2015,20160310,장편,한국,스릴러,20141515
646,20138224,플랜맨,성시흡, ,2013,20140109,장편,한국,드라마,20138715
647,20090042,핸드폰,김한민, ,2008,20090219,장편,한국,스릴러,20100935
648,20179281,컨택트,드니 빌뇌브, ,2016,20170202,장편,미국,SF, 
649,20144442,조선마술사,김대승, ,2015,20151230,장편,한국,드라마,20110933
650,20080833,다찌마와리,류승완, ,2007,20080814,장편,한국,액션,20100374
651,20100378,명탐정 코난: 천공의 난파선,야마모토 야스이치로, ,2010,20100721,장편,일본,애니메이션,20112207
652,20168891,설리: 허드슨강의 기적,클린트 이스트우드, ,2016,20160928,장편,미국,드라마, 
653,20090861,앨빈과 슈퍼밴드2,베티 토머스, ,2009,20091230,장편,미국,가족, 
654,20121861,더 임파서블,후안 안토니오 바요나, ,2012,20130117,장편,스페인,액션, 
655,20112972,아더 크리스마스,베리 쿡, ,2011,20111125,장편,미국,애니메이션, 
656,20143344,눈의 여왕 2: 트롤의 마법거울,알렉세이 트시칠린, ,2014,20141224,장편,러시아,애니메이션, 
657,20112704,인 타임,앤드류 니콜, ,2011,20111027,장편,미국,SF, 
658,20090815,홍길동의 후예,정용기, ,2009,20091126,장편,한국,액션,20100293
659,20145504,특종: 량첸살인기,노덕, ,2015,20151022,장편,한국,스릴러,20141519
660,20166363,잭 리처: 네버 고 백,에드워드 즈윅, ,2016,20161130,장편,미국,액션, 
