,movieCd,director_score,openDt_score,prdtYear_score,repNationNm_score,repGenreNm_score,showTm_score,watchGradeNm_score,distributor_score,actor_score,starScore,userCount,previous_screen,screen_D1,screen_D2,screen_D3,screen_D4,screen_D5,screen_D6,screen_D7,screen_D8,screen_D9,screen_D10,screen_D11,screen_D12,screen_D13,screen_D14,previous_show,show_D1,show_D2,show_D3,show_D4,show_D5,show_D6,show_D7,show_D8,show_D9,show_D10,show_D11,show_D12,show_D13,show_D14,previous_audience,audience_D1,audience_D2,audience_D3,audience_D4,audience_D5,audience_D6,audience_D7,audience_D8,audience_D9,audience_D10,audience_D11,audience_D12,audience_D13,audience_D14,final_audience
587,20138962,0.768822179,7.413561879,14.26704247,4.624017756,3.055823874,2.718236283,5.272618098,3.208019252,2.125108776,7.320541591,0.332591336,0.133394015,1.610324985,1.483496493,1.81906949,1.854630097,2.062253057,1.933614385,1.107985523,0.939857822,1.075279256,1.601250644,1.540538855,0.864127796,0.998558993,0.55316145,0.058183315,0.754818444,0.632379753,0.918727268,0.917735594,1.123473015,1.022949251,0.415366003,0.296876618,0.346714629,0.798312604,0.789701966,0.266596717,0.293247339,0.163412324,0.154859192,0.473978582,0.276326911,0.692398656,0.55432254,1.3345775,1.316955831,0.053715252,0.042365195,0.05661162,0.450741828,0.46015102,0.019703592,0.033925287,0.037702502,765961
588,20072686,0.922586615,6.425086962,14.26704247,5.857089158,3.310475864,4.809187271,7.908927147,3.962847311,1.459029906,5.916481141,0.356449297,0.038112576,1.351321666,1.303567463,1.297836117,1.216261042,1.196658547,1.262321844,1.272686074,1.274383487,1.343069108,1.315171125,1.255539167,1.260516693,1.31476934,1.34701147,0.022767384,1.369477177,1.418581608,1.352924888,1.213571876,1.152177317,1.203428237,1.238025526,1.175599654,1.338384197,1.34803474,1.231659322,1.142215276,1.189046126,1.22115188,0.050313963,0.813265446,1.402847596,0.909925078,0.564750661,0.225118896,0.362960994,0.410914417,0.366065199,0.43370631,0.537396086,0.366117231,0.151404954,0.226490024,0.282884286,762370
589,20163521,0.768822179,6.425086962,14.26704247,5.857089158,3.310475864,4.809187271,7.030157464,2.264484178,0.999118305,7.938681412,0.625135381,0.654265885,2.113316938,2.258292929,2.151399493,2.318287621,2.420905763,2.393303842,2.526656176,1.78811933,1.792132093,1.867463531,1.756214295,1.819425037,1.943029373,1.993070263,0.260560063,1.862226162,1.879335774,1.855574065,1.960236925,2.028659829,2.058588432,2.123063336,1.047006039,0.957984023,0.938683877,0.857106207,0.885995077,1.030168605,1.1039213,0.739723079,0.348802676,0.539009699,0.570995944,0.821404539,0.973687362,0.571212954,0.563026185,0.347910782,0.288294574,0.216493008,0.320531469,0.37230378,0.246219175,0.362259079,758195
590,20081744,2.306466536,8.402036796,14.26704247,4.624017756,3.055823874,2.718236283,5.272618098,3.019312237,1.030836346,7.974003687,0.411549826,0.152450303,1.122347717,1.138326517,1.06345601,1.065068371,1.072509533,1.090850379,1.111728717,1.182787174,1.104118163,1.044984912,1.043715074,1.0781778,1.098414892,1.085209868,0.07589128,1.186977554,1.150105068,1.065696787,1.032854495,1.048708322,0.996159402,1.057495426,1.127178601,0.725471606,0.701072169,0.738382827,0.749503944,0.664243251,0.703383483,0.198237016,0.647686167,1.449030273,0.519707742,0.643316649,0.642850658,0.227433854,0.29359143,0.311425976,0.172281297,0.124979265,0.367413668,0.402228547,0.114501797,0.19078096,753569
591,20149846,0.768822179,7.413561879,14.26704247,4.624017756,3.310475864,4.809187271,7.908927147,3.208019252,1.014977326,7.585458657,0.635644244,0.177858687,0.945925166,0.962069508,0.996990009,1.054988859,1.093201035,1.138278657,1.20905177,1.14296269,1.190634884,1.184051345,1.228579737,1.292227804,1.223234766,1.279449766,0.073361571,0.522678923,0.52413457,0.489227303,0.502278556,0.528025642,0.708521018,0.730926748,0.745366695,0.727114803,0.740282021,0.746808358,0.791808213,0.848473568,0.893439121,0.175272286,0.307488104,0.423592021,0.416758305,0.33227333,0.376908875,0.477799176,0.514699628,0.500962198,0.468904747,0.401792845,0.55871392,0.601339066,0.390109187,0.541193682,749146
592,20090895,0.768822179,7.413561879,13.31590631,5.857089158,5.34769178,2.718236283,7.030157464,1.887070148,0.951541243,4.123875661,0.408141546,1.295827577,1.15988443,1.153014601,1.101936326,1.038189674,1.048369447,1.101795366,1.134187883,1.051366377,1.067039568,1.140344752,1.039863727,1.050430577,1.102575554,1.114768113,1.35845392,1.398677117,1.412172353,1.377755355,1.255374828,1.24496564,1.303537675,1.343701682,1.089076789,1.152702903,1.130812156,1.041701914,1.034459117,1.068197799,1.117242957,0.617567963,0.559807276,0.644205434,1.025311626,0.76106596,0.271234995,0.43693969,0.418495571,0.33113481,0.339601002,0.572179768,0.452414489,0.159288415,0.230173431,0.287001105,729834
593,20090664,0.768822179,6.425086962,13.31590631,4.624017756,3.310475864,2.718236283,7.908927147,1.887070148,1.189426554,7.302880453,0.426603063,0.215971263,0.927156809,0.958397487,0.885047271,0.947474071,0.924220434,0.948565547,0.988203304,1.039419032,1.029960973,1.001278318,1.047566421,1.03853891,1.02768363,1.059874229,0.093599246,1.114707703,1.13657442,1.118042095,1.156977109,1.137491395,1.114598736,1.152163649,1.247040551,1.199534026,1.209231861,1.295233777,1.288284734,1.220314574,1.285095833,0.169306487,0.287296772,0.376606748,0.345564377,0.601797278,0.5603117,0.305632327,0.331325503,0.367384987,0.296114921,0.298907513,0.599492763,0.591593529,0.267750508,0.365199664,730934
594,20090237,0.768822179,7.413561879,14.26704247,5.857089158,3.565127854,2.718236283,7.908927147,1.887070148,1.094272429,7.63844207,0.901206071,0.336661086,0.927156809,0.921677277,0.955011482,0.846678957,0.844903008,0.893840612,0.920825806,1.023489238,1.079399099,1.041011585,0.974390826,0.983044465,1.040165617,1.080987261,0.508471579,1.066527802,1.108800985,1.078447567,0.982047829,0.955919998,1.006734343,1.049422942,0.950957721,1.046716677,1.019456174,0.939829595,0.941070447,0.974392454,1.024879469,0.195505687,0.392229573,0.614375638,0.913306194,0.660833899,0.201295783,0.302811105,0.339368923,0.289370852,0.364518911,0.65064963,0.479563904,0.157669219,0.222490444,0.294373572,725031
595,20151884,0.768822179,5.930849503,14.26704247,4.624017756,5.34769178,2.718236283,7.030157464,2.830605222,1.125990471,6.499298686,0.34395227,0.025408384,1.715427781,1.747882006,1.829564122,1.75719482,1.65532018,1.754846262,1.867853973,1.835908711,1.911607565,2.089969824,2.0181059,1.866991705,1.938868711,2.043741541,0.010118837,1.746156401,1.766105616,1.728066263,1.589155328,1.607440891,1.637705797,1.716503678,1.659016392,1.825592196,1.88364133,1.786978357,1.695363554,1.775540803,1.796647457,0.027600803,0.37731905,0.533971184,0.929672067,0.675946577,0.235683355,0.300218957,0.357912374,0.339508132,0.510397944,0.818724855,0.602531813,0.196874004,0.286072693,0.378915393,731584
596,20134801,0.768822179,6.425086962,15.21817864,5.857089158,4.074431833,4.809187271,5.71200294,3.962847311,1.348016761,5.527936111,0.526011234,0.39382995,1.880589318,1.802962322,1.623169699,1.508566872,1.50703108,1.57607814,1.654491896,1.286330832,1.322469889,1.541650744,1.494322689,1.34772225,1.443749877,1.439908813,0.15684198,1.671696555,1.600177145,1.436140506,1.317757696,1.334416255,1.410697072,1.492675708,0.945401207,1.00892314,0.994361868,0.959744484,1.005724142,1.06059196,1.110138073,0.164957923,0.496768901,0.652521214,0.805046976,0.633941307,0.318617657,0.504347593,0.584977193,0.406113433,0.454872102,0.585469574,0.449855288,0.218237272,0.322037292,0.43298015,731212
597,20080890,0.768822179,6.425086962,14.26704247,5.857089158,3.310475864,2.718236283,7.908927147,3.962847311,1.030836346,6.905504854,0.563502315,0.177858687,1.261233555,1.189734811,1.287341485,1.105386416,1.127686873,1.171113618,1.111728717,1.134997793,1.186515041,1.156238058,1.070674504,1.097997245,1.148342842,0.895192576,0.083480408,1.347577223,1.364459016,1.376413167,1.24765736,1.194232456,1.254187952,1.074374256,1.119240724,1.243900353,1.274320217,1.1925955,1.05840493,1.150171839,0.548852263,0.093691788,0.766659709,0.701813949,1.074623541,0.676282968,0.244322345,0.422025797,0.325844355,0.305090994,0.362443564,0.582587329,0.410356046,0.140222381,0.223881602,0.131171099,731706
598,20080394,2.844642062,6.91932442,14.26704247,5.857089158,3.310475864,4.809187271,5.71200294,3.019312237,1.538325009,6.137245363,0.592472696,0.323956894,1.020998592,1.020821844,0.944516851,0.923955211,0.927669017,0.985048838,0.973230527,1.023489238,0.906365656,0.886051845,0.924323313,0.947369464,0.96111303,0.945863854,0.250441225,1.083317767,1.053966255,1.008653823,1.003913989,0.985959384,0.977829505,1.001721899,1.085901638,0.782983511,0.823406909,0.792765795,0.814955833,0.812979654,0.87123636,0.620802432,0.727643843,0.895651887,0.431147892,0.530962054,0.613317027,0.903574545,0.300115977,0.286760605,0.17482394,0.190700357,0.271847726,0.361192046,0.495758159,0.258141363,719587
599,20090157,0.768822179,5.930849503,13.31590631,4.624017756,4.838387801,2.718236283,7.030157464,3.019312237,1.427311864,5.916481141,0.424188865,0.076225152,0.930910481,0.895973129,0.902538324,0.850038794,0.841454425,0.886543954,0.917082612,0.947822719,0.98464269,0.965518379,0.908917925,0.927550019,0.97775568,0.992312525,0.058183315,1.084047766,1.099543174,1.110660064,1.013560825,0.987294468,0.993339418,1.072906532,1.090664365,1.201998822,1.239815546,1.138212533,1.062395899,1.107917179,1.148326823,0.226772221,0.393658498,0.518242543,0.949736533,0.696485116,0.193286415,0.267220311,0.335274571,0.284414315,0.362732188,0.740117274,0.537322706,0.143804852,0.232750235,0.26677408,715887
600,20090085,0.768822179,5.930849503,13.31590631,5.857089158,3.310475864,2.718236283,7.030157464,5.0950894,1.506606968,7.391186142,0.735762473,0.06352096,0.964693522,1.244815126,1.175398748,1.186022508,1.189761379,1.189355263,1.216538159,1.290313281,1.145316602,1.108558138,1.128444711,1.149527801,1.135860854,1.156994178,0.025297093,0.741678471,1.339534138,1.311317079,1.399434235,1.351772344,1.299307698,1.355443478,1.460569455,1.19706923,1.206095073,1.281446546,1.285091959,1.206793083,1.238025979,0.047510757,0.217621144,0.42885348,0.310761102,0.806148584,0.636605694,0.337823187,0.368795425,0.401787461,0.261589942,0.229163083,0.459645914,0.506960174,0.254898105,0.308026288,715800
601,20156841,0.922586615,5.930849503,14.26704247,4.624017756,3.310475864,2.718236283,5.272618098,5.283796415,1.300439699,7.382355573,0.339407896,0.273140127,1.591556628,1.58264106,1.847055175,1.784073517,1.50703108,1.641748063,1.332577183,1.377927146,1.483143801,1.680717177,1.686890046,1.395288918,1.43126789,1.237223702,0.108777502,1.500876907,1.518993257,1.664983456,1.560214823,1.354442512,1.430436962,0.904118227,0.935081966,1.00892314,1.155906461,1.124425302,0.912335472,0.95749059,0.641215751,0.293330407,0.35388675,0.513337794,1.097434171,0.791359839,0.174580806,0.277420112,0.265327196,0.19085601,0.262084727,0.657358474,0.514811842,0.108061099,0.176455758,0.194624725,716491
602,20110251,0.768822179,7.413561879,13.31590631,5.857089158,3.310475864,4.809187271,5.71200294,3.396726267,0.951541243,6.172567638,0.557821848,0.06352096,0.893373768,0.906989192,0.972502535,0.96091342,0.869043094,0.930323902,0.801043588,0.852243957,0.869287061,0.770825372,0.762566733,0.868091685,0.944470381,0.941641247,0.030356512,0.934398074,0.962812416,0.942886641,0.885579477,0.891168434,0.935529743,0.568743203,0.6024849,0.615377387,0.476007613,0.449616929,0.61939836,0.660862879,0.725586245,0.0790648,0.419285958,0.575472055,0.762592537,0.594377988,0.258767029,0.433841169,0.271125326,0.322717496,0.30756369,0.337380076,0.262722155,0.186936188,0.299146417,0.409245428,714136
