,movieCd,showTm,actor1,actor2,actor3,actor4,actor5,actor6,watchGradeNm,producedCompany,distributor
63,20122783,118,설경구,정우성,한효주,진경,이준호,임달화,15세이상관람가,영화사 집,(주)넥스트엔터테인먼트월드(NEW)
64,20090685,157,존 쿠삭,아만다 피트,올리버 플랫,탠디 뉴튼,치웨텔 에지오포, ,12세이상관람가,센트로폴리스 엔터테인먼트,한국소니픽쳐스릴리징브에나비스타영화㈜
65,20163181,115,베네딕트 컴버배치,레이첼 맥아담스,틸다 스윈튼,매즈 미켈슨,치웨텔 에지오포,스콧 앳킨스,12세이상관람가, ,월트디즈니컴퍼니코리아(주)
66,20145503,108,김윤석,강동원,박소담,김병옥,김의성,이호재,15세이상관람가,영화사 집,씨제이이앤엠(주)
67,20170561,134,채드윅 보스만,마이클 B. 조던,루피타 뇽오,다네이 거라이라,마틴 프리먼,안젤라 바셋,12세이상관람가, ,월트디즈니컴퍼니코리아 유한책임회사
68,20151229,134,조인성,정우성,배성우,김아중,류준열,김의성,15세이상관람가,(주)우주필름,(주)넥스트엔터테인먼트월드(NEW)
69,20112695,107,김윤석,유아인,김효숙,조병찬,조세현,신창수,12세이상관람가,(주)유비유필름,씨제이이앤엠(주)
70,20122021,165,마크 월버그,니콜라 펠츠,잭 레이너,스탠리 투치,리빙빙, ,12세이상관람가, ,씨제이이앤엠(주)
71,20177478,149,로버트 다우니 주니어,조슈 브롤린,마크 러팔로,톰 히들스턴,크리스 에반스,크리스 헴스워스,12세이상관람가, ,월트디즈니컴퍼니코리아 유한책임회사
72,20122122,115,브래드 피트,미레유 에노스,매튜 폭스, , , ,15세이상관람가,플랜 비 엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트
73,20124039,121,설경구,손예진,김상경,김인권,도지한,안성기,12세이상관람가,씨제이이앤엠(주),씨제이이앤엠(주)
74,20164721,129,엠마 왓슨,댄 스티븐스,루크 에반스,이완 맥그리거,이안 맥켈런,엠마 톰슨,전체관람가, ,월트디즈니컴퍼니코리아 유한책임회사
75,20080046,123,김윤석,하정우,서영희,박효주,김유정,최정우,청소년관람불가,(주)영화사비단길,(주)쇼박스
76,20110511,91,더스틴 호프만,잭 블랙,안젤리나 졸리,성룡, , ,전체관람가, ,씨제이이앤엠(주)
77,20151225,102,다이안 레인,에이미 포엘러,카일 맥라클란,민디 캘링,빌 헤이더, ,전체관람가, ,월트디즈니컴퍼니코리아(주)
78,20175222,141,콜린 퍼스,줄리안 무어,태런 에저튼,마크 스트롱,할리 베리,엘튼 존,청소년관람불가, ,이십세기폭스코리아(주)
79,20124067,121,차태현,오지호,민효린,성동일,신정근,고창석,12세이상관람가,(주)두타연,(주)넥스트엔터테인먼트월드(NEW)
80,20151383,142,맷 데이먼,제시카 차스테인,제프 다니엘스,케이트 마라,크리스틴 위그, ,12세이상관람가, ,이십세기폭스코리아(주)
81,20175121,130,크리스 헴스워스,톰 히들스턴,케이트 블란쳇,이드리스 엘바,제프 골드블럼,테사 톰슨,12세이상관람가, ,월트디즈니컴퍼니코리아 유한책임회사
82,20126077,136,앤드류 가필드,엠마 스톤,마틴 쉰,샐리 필드, , ,12세이상관람가, ,한국소니픽쳐스릴리징브에나비스타영화㈜
83,20141111,86,조병만,강계열, , , , ,전체관람가,아거스필름,CGV아트하우스
84,20102414,115,김명민,김호연,한지민,오달수,김영훈,백성기,12세이상관람가,청년필름(주),(주)쇼박스
85,20123501,137,하정우,강동원,최귀화,이성민,조진웅,마동석,15세이상관람가,(주)영화사 월광,(주)쇼박스
86,20113557,133,최민식,하정우,조진웅,마동석,곽도원,김성균,청소년관람불가,(주)팔레트픽처스,(주)쇼박스
87,20155501,108,지니퍼 굿윈,제이슨 베이트먼,샤키라, , , ,전체관람가, ,월트디즈니컴퍼니코리아(주)
88,20148807,113,톰 크루즈,에밀리 블런트,빌 팩스톤, , , ,12세이상관람가, ,워너브러더스 코리아(주)
89,20124401,134,이정재,최민식,황정민,박성웅,송지효,정영기,청소년관람불가,(주)사나이픽처스,(주)넥스트엔터테인먼트월드(NEW)
